Austria, Life expectancy at birth (period, 1x1)     Last modified: 03-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1947      63.80   58.69   61.30
1948      65.80   60.55   63.24
1949      65.73   60.96   63.42
1950      67.33   62.23   64.85
1951      67.83   62.49   65.23
1952      69.24   64.11   66.76
1953      69.71   64.62   67.25
1954      69.89   64.50   67.29
1955      70.37   64.57   67.56
1956      70.55   64.64   67.68
1957      70.51   64.21   67.44
1958      71.37   65.34   68.46
1959      71.39   65.18   68.39
1960      71.90   65.39   68.75
1961      72.78   66.42   69.72
1962      72.48   66.28   69.50
1963      72.64   66.39   69.64
1964      73.21   66.79   70.13
1965      72.99   66.60   69.93
1966      73.35   66.86   70.24
1967      73.37   66.62   70.12
1968      73.52   66.76   70.27
1969      73.27   66.56   70.04
1970      73.43   66.51   70.09
1971      73.67   66.67   70.30
1972      74.03   66.95   70.62
1973      74.57   67.54   71.20
1974      74.63   67.45   71.18
1975      74.69   67.65   71.32
1976      75.07   68.20   71.80
1977      75.45   68.51   72.15
1978      75.66   68.45   72.21
1979      75.97   68.78   72.55
1980      76.05   68.97   72.69
1981      76.38   69.26   72.99
1982      76.58   69.38   73.15
1983      76.59   69.50   73.22
1984      77.19   70.01   73.77
1985      77.30   70.32   73.99
1986      77.65   70.90   74.46
1987      78.04   71.40   74.91
1988      78.52   71.85   75.38
1989      78.67   71.90   75.47
1990      78.87   72.23   75.74
1991      78.98   72.27   75.80
1992      79.15   72.51   76.00
1993      79.35   72.76   76.23
1994      79.64   73.12   76.55
1995      79.96   73.30   76.78
1996      80.09   73.67   77.04
1997      80.54   74.02   77.43
1998      80.83   74.45   77.79
1999      80.84   74.79   77.97
2000      81.10   75.10   78.24
2001      81.57   75.60   78.73
2002      81.67   75.79   78.87
2003      81.55   75.93   78.86
2004      82.11   76.41   79.38
2005      82.22   76.64   79.54
2006      82.65   77.11   79.99
2007      82.85   77.33   80.19
2008      82.97   77.62   80.39
2009      82.87   77.43   80.23
2010      83.15   77.70   80.50
