Belgium, Life expectancy at birth (period, 1x1)     Last modified: 30-Jan-2014, MPv5 (May07)

Year     Female    Male   Total
1841      40.33   40.28   40.31
1842      38.51   38.75   38.64
1843      40.23   40.46   40.35
1844      41.73   42.02   41.88
1845      40.77   41.24   41.02
1846      38.18   37.43   37.82
1847      35.82   34.40   35.10
1848      37.89   38.15   38.03
1849      34.51   34.46   34.49
1850      42.10   42.43   42.27
1851      41.73   42.00   41.88
1852      41.69   41.85   41.78
1853      41.33   41.32   41.32
1854      40.06   39.43   39.74
1855      37.81   37.05   37.42
1856      41.11   40.66   40.89
1857      40.62   40.25   40.44
1858      40.63   39.65   40.13
1859      39.46   38.41   38.93
1860      45.70   44.47   45.07
1861      41.75   40.70   41.22
1862      43.59   42.56   43.06
1863      41.85   40.69   41.25
1864      40.18   39.37   39.76
1865      38.34   37.06   37.69
1866      33.27   31.66   32.44
1867      44.05   42.03   43.02
1868      43.51   41.59   42.53
1869      43.28   41.88   42.57
1870      41.73   40.11   40.90
1871      35.20   33.51   34.32
1872      41.00   39.07   40.01
1873      44.65   42.35   43.46
1874      45.80   43.57   44.65
1875      43.37   40.98   42.13
1876      44.87   42.52   43.65
1877      45.73   43.26   44.45
1878      45.59   42.89   44.19
1879      45.15   42.53   43.79
1880      43.96   41.03   42.44
1881      45.88   42.97   44.38
1882      47.05   44.08   45.51
1883      46.42   43.42   44.86
1884      45.68   42.78   44.18
1885      46.92   44.04   45.43
1886      44.87   41.83   43.30
1887      47.72   44.41   46.01
1888      46.77   43.10   44.87
1889      46.75   43.41   45.02
1890      46.08   42.25   44.09
1891      45.84   42.28   43.99
1892      44.78   41.57   43.12
1893      46.01   42.87   44.39
1894      48.65   44.68   46.60
1895      47.19   43.78   45.43
1896      49.73   46.43   48.04
1897      50.55   47.15   48.80
1898      50.00   46.26   48.07
1899      48.18   44.82   46.45
1900      48.35   44.80   46.52
1901      51.15   47.69   49.38
1902      50.78   47.50   49.10
1903      50.95   47.49   49.17
1904      50.82   47.74   49.25
1905      51.58   48.34   49.92
1906      51.31   48.04   49.64
1907      52.74   49.39   51.03
1908      51.30   48.03   49.63
1909      52.37   48.96   50.63
1910      52.98   49.69   51.31
1911      51.05   47.46   49.22
1912      54.05   50.46   52.22
1913      54.34   50.58   52.42
1914          .       .       .
1915          .       .       .
1916          .       .       .
1917          .       .       .
1918          .       .       .
1919      51.56   48.09   49.79
1920      55.56   51.69   53.59
1921      56.39   53.01   54.67
1922      56.80   53.45   55.10
1923      58.60   54.84   56.69
1924      59.27   55.66   57.44
1925      58.93   55.30   57.09
1926      58.75   55.09   56.89
1927      58.92   55.35   57.11
1928      59.32   55.62   57.44
1929      56.94   53.15   55.01
1930      59.23   55.05   57.10
1931      60.49   56.42   58.41
1932      60.42   56.64   58.50
1933      60.66   56.78   58.68
1934      62.34   58.38   60.33
1935      62.01   57.94   59.93
1936      62.23   57.76   59.94
1937      62.11   57.94   59.98
1938      62.49   57.87   60.12
1939      62.34   57.80   60.01
1940      60.71   51.75   55.94
1941      61.87   56.13   58.89
1942      61.99   56.47   59.11
1943      62.95   57.84   60.32
1944      60.74   53.45   56.91
1945      61.31   55.58   58.35
1946      64.81   59.09   61.87
1947      66.18   60.78   63.41
1948      67.63   62.37   64.94
1949      68.05   62.91   65.43
1950      68.89   63.82   66.31
1951      69.30   64.31   66.76
1952      70.46   65.55   67.97
1953      70.89   65.87   68.35
1954      71.14   66.12   68.60
1955      71.24   65.92   68.54
1956      71.62   66.14   68.84
1957      71.92   66.56   69.21
1958      72.58   67.29   69.91
1959      73.07   67.60   70.31
1960      72.64   66.71   69.63
1961      73.53   67.55   70.50
1962      73.13   67.40   70.23
1963      73.09   67.09   70.04
1964      73.79   67.71   70.71
1965      73.64   67.56   70.56
1966      73.67   67.67   70.63
1967      74.09   67.84   70.92
1968      73.78   67.55   70.61
1969      73.98   67.50   70.68
1970      74.15   67.83   70.95
1971      74.37   67.89   71.08
1972      74.72   68.21   71.42
1973      74.92   68.42   71.63
1974      75.24   68.78   71.98
1975      75.21   68.79   71.97
1976      75.42   68.88   72.12
1977      76.07   69.50   72.76
1978      76.07   69.40   72.71
1979      76.52   69.92   73.21
1980      76.66   69.88   73.25
1981      77.04   70.28   73.66
1982      77.16   70.60   73.88
1983      77.15   70.62   73.89
1984      77.79   70.96   74.37
1985      77.88   71.08   74.48
1986      78.00   71.34   74.68
1987      78.62   71.91   75.29
1988      78.91   72.23   75.60
1989      78.92   72.33   75.66
1990      79.34   72.71   76.07
1991      79.48   72.86   76.21
1992      79.67   72.98   76.37
1993      79.75   72.95   76.38
1994      80.00   73.36   76.72
1995      80.20   73.45   76.85
1996      80.47   73.84   77.20
1997      80.56   74.16   77.41
1998      80.57   74.31   77.49
1999      80.88   74.37   77.66
2000      80.91   74.58   77.78
2001      81.17   74.92   78.09
2002      81.19   75.09   78.18
2003      81.21   75.37   78.33
2004      81.86   75.98   78.97
2005      81.86   76.15   79.06
2006      82.16   76.52   79.39
2007      82.21   76.75   79.53
2008      82.31   76.78   79.59
2009      82.44   77.16   79.85
2010      82.65   77.38   80.06
2011      82.86   77.77   80.37
2012      82.83   77.64   80.27
