Belarus, Life expectancy at birth (period, 1x1)     Last modified: 04-Nov-2013, MPv5 (May07)

Year     Female    Male   Total
1959      71.98   65.24   69.06
1960      74.82   67.92   71.86
1961      75.56   68.61   72.58
1962      74.08   67.66   71.33
1963      74.88   68.16   71.99
1964      76.63   69.35   73.49
1965      76.14   68.96   73.04
1966      76.61   69.17   73.39
1967      76.36   68.97   73.16
1968      76.65   68.93   73.27
1969      76.34   68.51   72.90
1970      75.95   67.86   72.36
1971      76.77   68.36   73.02
1972      76.47   68.09   72.73
1973      76.45   68.18   72.75
1974      76.91   68.34   73.08
1975      76.25   67.15   72.12
1976      76.25   66.89   71.97
1977      76.30   66.75   71.92
1978      76.16   66.58   71.75
1979      76.06   65.96   71.35
1980      75.60   65.95   71.10
1981      76.20   65.94   71.38
1982      76.18   66.22   71.52
1983      75.93   66.10   71.32
1984      75.52   65.41   70.72
1985      75.25   66.10   70.97
1986      76.29   67.70   72.33
1987      76.18   67.59   72.20
1988      76.09   67.24   71.95
1989      76.34   66.73   71.76
1990      75.79   66.24   71.21
1991      75.46   65.52   70.63
1992      75.34   64.90   70.21
1993      74.49   63.73   69.11
1994      74.36   63.42   68.87
1995      74.20   62.80   68.43
1996      74.29   63.04   68.60
1997      74.18   62.79   68.39
1998      74.29   62.57   68.30
1999      73.92   62.18   67.90
2000      74.67   63.31   68.90
2001      74.50   62.73   68.46
2002      74.13   62.18   67.96
2003      74.67   62.62   68.47
2004      74.97   63.12   68.90
2005      75.01   62.77   68.71
2006      75.45   63.48   69.33
2007      76.11   64.46   70.22
2008      76.42   64.56   70.41
2009      76.36   64.67   70.45
2010      76.48   64.60   70.45
2011      76.77   64.71   70.65
2012      77.67   66.60   72.19
