Canada, Life expectancy at birth (period, 1x1)     Last modified: 24-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1921      58.16   55.95   57.03
1922      58.14   55.89   56.99
1923      58.05   55.85   56.93
1924      59.85   57.71   58.76
1925      60.44   58.07   59.23
1926      59.12   56.77   57.92
1927      59.95   57.39   58.63
1928      59.87   57.30   58.54
1929      59.25   56.72   57.94
1930      60.31   57.62   58.91
1931      61.65   59.00   60.27
1932      62.53   60.25   61.35
1933      63.37   61.22   62.26
1934      64.01   61.43   62.66
1935      63.72   61.21   62.40
1936      63.80   61.62   62.65
1937      62.83   59.92   61.29
1938      64.91   61.80   63.26
1939      65.33   62.23   63.69
1940      65.70   62.44   63.96
1941      65.68   61.98   63.72
1942      66.54   62.97   64.63
1943      66.42   62.90   64.55
1944      67.03   63.75   65.28
1945      68.13   64.65   66.27
1946      68.38   64.79   66.47
1947      68.90   64.82   66.72
1948      69.44   65.38   67.27
1949      69.85   65.63   67.59
1950      70.59   66.16   68.22
1951      70.86   66.42   68.50
1952      71.40   66.34   68.69
1953      71.80   66.69   69.07
1954      72.69   67.54   69.93
1955      72.87   67.51   69.99
1956      72.83   67.52   69.99
1957      72.97   67.29   69.91
1958      73.68   67.90   70.57
1959      73.64   67.98   70.61
1960      74.16   68.23   70.98
1961      74.46   68.40   71.21
1962      74.44   68.45   71.24
1963      74.51   68.41   71.26
1964      75.08   68.63   71.64
1965      75.14   68.75   71.74
1966      75.39   68.78   71.88
1967      75.66   68.93   72.09
1968      75.79   69.10   72.24
1969      76.02   69.17   72.40
1970      76.27   69.33   72.61
1971      76.64   69.61   72.94
1972      76.55   69.48   72.83
1973      76.83   69.66   73.07
1974      76.90   69.74   73.15
1975      77.23   69.99   73.45
1976      77.67   70.38   73.87
1977      77.97   70.63   74.16
1978      78.32   70.91   74.48
1979      78.59   71.31   74.84
1980      78.72   71.60   75.06
1981      79.11   72.01   75.48
1982      79.23   72.29   75.69
1983      79.55   72.69   76.07
1984      79.77   73.01   76.36
1985      79.73   73.03   76.35
1986      79.79   73.23   76.49
1987      80.11   73.51   76.79
1988      80.19   73.57   76.86
1989      80.39   73.87   77.12
1990      80.62   74.22   77.43
1991      80.73   74.44   77.59
1992      80.98   74.69   77.85
1993      80.79   74.63   77.72
1994      80.89   74.87   77.91
1995      80.98   75.01   78.02
1996      81.11   75.39   78.28
1997      81.22   75.67   78.49
1998      81.39   75.93   78.70
1999      81.60   76.15   78.92
2000      81.81   76.63   79.28
2001      81.99   76.91   79.51
2002      82.01   77.14   79.63
2003      82.22   77.30   79.82
2004      82.45   77.68   80.13
2005      82.54   77.84   80.24
2006      82.93   78.30   80.68
2007      82.94   78.35   80.70
2008      83.09   78.59   80.90
2009      83.39   79.00   81.25
