East Germany, Life expectancy at birth (period, 1x1)     Last modified: 10-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1956      70.88   66.39   68.78
1957      70.52   65.84   68.33
1958      70.96   66.49   68.88
1959      70.89   66.28   68.75
1960      71.31   66.48   69.07
1961      72.16   67.27   69.89
1962      72.02   67.28   69.82
1963      72.60   67.77   70.37
1964      72.79   67.87   70.52
1965      72.94   67.97   70.65
1966      73.28   68.35   71.02
1967      73.50   68.44   71.18
1968      73.14   68.04   70.81
1969      73.18   67.85   70.73
1970      73.34   68.14   70.97
1971      73.66   68.58   71.35
1972      73.94   68.64   71.52
1973      74.31   68.85   71.83
1974      74.45   68.96   71.96
1975      74.07   68.57   71.57
1976      74.42   68.86   71.89
1977      74.88   69.02   72.21
1978      74.76   68.82   72.05
1979      74.79   68.76   72.04
1980      74.64   68.71   71.93
1981      74.88   69.00   72.19
1982      75.13   69.13   72.39
1983      75.46   69.51   72.74
1984      75.47   69.70   72.85
1985      75.45   69.56   72.75
1986      75.50   69.62   72.80
1987      75.96   69.88   73.15
1988      76.02   69.83   73.15
1989      76.43   70.18   73.51
1990      76.27   69.23   72.92
1991      76.65   69.46   73.21
1992      77.30   70.03   73.82
1993      77.86   70.37   74.26
1994      78.21   70.71   74.59
1995      78.58   71.22   75.03
1996      78.92   71.73   75.46
1997      79.57   72.39   76.12
1998      79.92   73.14   76.69
1999      80.43   73.52   77.12
2000      80.72   73.81   77.40
2001      81.05   74.41   77.87
2002      81.04   74.54   77.91
2003      81.32   74.68   78.10
2004      81.80   75.29   78.64
2005      81.89   75.58   78.83
2006      82.15   75.91   79.11
2007      82.35   76.21   79.34
2008      82.41   76.39   79.45
2009      82.53   76.49   79.55
2010      82.61   76.68   79.67
2011      82.85   77.05   79.97
