Germany, Life expectancy at birth (period, 1x1)     Last modified: 10-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1990      78.43   71.93   75.36
1991      78.69   72.12   75.58
1992      79.15   72.57   76.03
1993      79.23   72.68   76.12
1994      79.53   73.00   76.42
1995      79.71   73.19   76.60
1996      79.89   73.50   76.84
1997      80.30   73.95   77.27
1998      80.57   74.40   77.63
1999      80.78   74.67   77.87
2000      81.03   74.97   78.13
2001      81.32   75.40   78.48
2002      81.33   75.57   78.57
2003      81.42   75.66   78.64
2004      81.95   76.31   79.23
2005      82.03   76.53   79.37
2006      82.31   76.94   79.71
2007      82.48   77.12   79.87
2008      82.47   77.32   79.96
2009      82.57   77.46   80.07
2010      82.71   77.67   80.23
2011      82.92   78.02   80.52
