Spain, Life expectancy at birth (period, 1x1)     Last modified: 11-Feb-2014, MPv5 (May07)

Year     Female    Male   Total
1908      42.27   40.41   41.33
1909      42.05   39.90   40.96
1910      41.97   39.65   40.78
1911      40.69   38.77   39.70
1912      44.39   42.51   43.43
1913      43.47   41.54   42.49
1914      43.68   41.87   42.75
1915      43.90   42.09   42.97
1916      44.88   42.96   43.90
1917      43.53   41.60   42.54
1918      30.69   29.82   30.25
1919      42.26   39.90   41.06
1920      40.35   38.14   39.22
1921      43.19   40.75   41.95
1922      45.38   42.92   44.13
1923      45.97   43.45   44.69
1924      47.73   44.78   46.23
1925      48.40   45.41   46.88
1926      49.22   46.22   47.70
1927      49.95   46.93   48.42
1928      50.10   47.15   48.61
1929      51.10   47.79   49.43
1930      51.13   47.46   49.26
1931      50.96   47.42   49.16
1932      52.82   49.45   51.12
1933      53.24   49.84   51.53
1934      54.04   50.33   52.17
1935      54.59   50.72   52.64
1936      55.53   46.84   50.96
1937      52.22   42.87   47.28
1938      52.15   43.44   47.58
1939      51.79   43.09   47.21
1940      52.45   44.71   48.44
1941      51.42   43.41   47.19
1942      55.55   49.48   52.48
1943      57.57   52.06   54.83
1944      59.20   53.25   56.22
1945      60.57   54.98   57.79
1946      60.57   54.47   57.50
1947      61.79   56.69   59.27
1948      63.84   58.51   61.22
1949      63.52   58.33   60.96
1950      64.23   59.35   61.84
1951      63.79   59.05   61.45
1952      67.05   62.57   64.88
1953      67.89   63.47   65.74
1954      69.10   64.65   66.95
1955      68.94   64.36   66.71
1956      69.04   64.39   66.77
1957      68.92   64.18   66.61
1958      71.07   66.39   68.80
1959      71.07   66.23   68.71
1960      71.65   66.66   69.22
1961      71.97   67.09   69.60
1962      72.07   67.07   69.63
1963      72.36   67.12   69.79
1964      73.13   67.77   70.51
1965      73.56   68.17   70.93
1966      73.78   68.45   71.17
1967      74.06   68.56   71.36
1968      74.35   68.84   71.65
1969      73.88   68.35   71.16
1970      74.86   69.31   72.14
1971      74.55   68.84   71.73
1972      75.63   70.14   72.94
1973      75.51   69.83   72.72
1974      75.93   70.17   73.10
1975      76.33   70.52   73.48
1976      76.70   70.80   73.80
1977      77.21   71.27   74.29
1978      77.46   71.41   74.48
1979      78.04   71.83   74.98
1980      78.55   72.39   75.52
1981      78.76   72.52   75.69
1982      79.34   73.16   76.31
1983      79.12   72.95   76.09
1984      79.67   73.19   76.47
1985      79.65   73.08   76.40
1986      79.89   73.43   76.70
1987      80.22   73.59   76.95
1988      80.28   73.55   76.94
1989      80.49   73.46   76.99
1990      80.55   73.42   76.99
1991      80.74   73.50   77.12
1992      81.25   73.90   77.58
1993      81.32   74.10   77.72
1994      81.71   74.49   78.11
1995      81.84   74.56   78.20
1996      82.00   74.68   78.34
1997      82.35   75.32   78.85
1998      82.42   75.45   78.94
1999      82.44   75.46   78.95
2000      82.85   75.97   79.42
2001      83.17   76.30   79.75
2002      83.25   76.41   79.84
2003      83.08   76.43   79.76
2004      83.66   76.99   80.34
2005      83.62   77.04   80.33
2006      84.22   77.71   80.98
2007      84.18   77.78   80.99
2008      84.36   78.21   81.31
2009      84.65   78.59   81.65
2010      85.01   79.01   82.04
2011      85.10   79.26   82.21
2012      85.07   79.33   82.23
