Italy, Life expectancy at birth (period, 1x1)     Last modified: 28-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1872      30.20   29.22   29.70
1873      31.79   31.44   31.61
1874      31.97   31.56   31.76
1875      31.61   31.07   31.33
1876      33.95   33.30   33.62
1877      35.15   34.70   34.91
1878      34.54   34.16   34.34
1879      34.13   33.81   33.96
1880      33.14   32.40   32.76
1881      34.43   34.01   34.21
1882      34.55   34.06   34.29
1883      35.19   35.20   35.18
1884      36.64   36.64   36.63
1885      36.75   37.00   36.87
1886      35.07   35.23   35.14
1887      35.96   36.07   36.00
1888      37.02   36.93   36.96
1889      39.08   39.10   39.08
1890      38.57   38.50   38.53
1891      38.51   38.51   38.50
1892      38.92   38.87   38.88
1893      39.98   39.71   39.83
1894      40.05   39.87   39.95
1895      39.91   39.41   39.64
1896      40.99   40.47   40.72
1897      43.39   43.25   43.31
1898      42.56   42.14   42.34
1899      43.80   43.58   43.68
1900      41.80   41.56   41.67
1901      43.79   43.30   43.54
1902      43.17   42.83   42.99
1903      43.39   42.86   43.11
1904      44.61   44.19   44.39
1905      44.16   43.65   43.90
1906      45.37   44.76   45.05
1907      45.69   45.16   45.41
1908      43.53   42.78   43.14
1909      45.23   44.08   44.64
1910      47.13   46.32   46.71
1911      44.99   44.50   44.73
1912      49.41   48.47   48.93
1913      48.81   48.03   48.41
1914      50.32   49.39   49.85
1915      46.94   38.55   42.49
1916      46.53   33.87   39.56
1917      47.49   31.03   38.14
1918      28.33   23.50   25.81
1919      45.52   39.22   42.33
1920      46.04   44.93   45.47
1921      49.97   48.45   49.19
1922      50.67   49.26   49.95
1923      52.02   50.83   51.41
1924      52.24   50.72   51.47
1925      52.22   50.35   51.27
1926      51.77   50.10   50.92
1927      53.35   51.75   52.54
1928      53.56   51.74   52.64
1929      53.29   51.23   52.25
1930      56.26   54.08   55.16
1931      55.81   53.69   54.75
1932      55.96   53.53   54.74
1933      57.46   55.06   56.26
1934      58.07   55.57   56.83
1935      57.51   54.89   56.20
1936      58.17   55.27   56.72
1937      56.85   54.05   55.45
1938      57.49   54.69   56.09
1939      59.03   56.17   57.60
1940      59.03   54.88   56.95
1941      58.18   51.31   54.65
1942      57.63   47.92   52.52
1943      56.21   43.57   49.40
1944      57.29   47.99   52.44
1945      58.63   51.25   54.87
1946      60.55   57.32   58.96
1947      62.89   59.38   61.16
1948      64.94   61.89   63.44
1949      65.58   62.57   64.11
1950      67.48   63.99   65.76
1951      67.04   63.50   65.30
1952      67.71   64.09   65.93
1953      68.39   64.69   66.57
1954      69.91   65.81   67.89
1955      70.35   66.08   68.24
1956      69.80   65.41   67.63
1957      70.11   65.45   67.80
1958      71.19   66.48   68.86
1959      71.65   66.91   69.31
1960      71.68   66.67   69.19
1961      72.47   67.15   69.83
1962      71.88   66.53   69.22
1963      72.06   66.56   69.32
1964      73.17   67.57   70.38
1965      73.04   67.43   70.25
1966      73.81   68.15   70.99
1967      73.83   68.21   71.04
1968      73.72   67.98   70.85
1969      73.87   67.87   70.87
1970      74.55   68.70   71.63
1971      74.87   68.87   71.88
1972      75.20   69.08   72.15
1973      75.11   69.08   72.10
1974      75.90   69.70   72.81
1975      75.90   69.54   72.72
1976      76.27   69.86   73.07
1977      76.73   70.15   73.44
1978      77.13   70.42   73.78
1979      77.47   70.72   74.11
1980      77.43   70.68   74.06
1981      77.77   71.11   74.45
1982      78.19   71.60   74.92
1983      77.99   71.44   74.73
1984      78.77   72.16   75.50
1985      78.83   72.31   75.61
1986      79.13   72.63   75.92
1987      79.57   73.03   76.35
1988      79.73   73.22   76.52
1989      80.16   73.58   76.92
1990      80.25   73.61   76.98
1991      80.31   73.57   76.98
1992      80.66   73.93   77.35
1993      80.82   74.31   77.62
1994      81.06   74.51   77.85
1995      81.34   74.74   78.10
1996      81.54   75.15   78.42
1997      81.77   75.51   78.72
1998      81.84   75.64   78.81
1999      82.20   76.06   79.21
2000      82.51   76.54   79.62
2001      82.80   76.80   79.90
2002      82.99   77.09   80.13
2003      82.91   77.35   80.22
2004      83.80   78.10   81.06
2005      83.70   78.20   81.05
2006      84.09   78.62   81.46
2007      84.09   78.82   81.56
2008      84.11   78.84   81.58
2009      84.24   79.22   81.83
