Netherlands, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1850      40.81   38.90   39.84
1851      40.79   39.19   39.99
1852      39.49   37.81   38.64
1853      39.66   37.59   38.62
1854      39.48   37.77   38.62
1855      35.35   33.72   34.52
1856      39.22   37.57   38.38
1857      36.30   34.64   35.46
1858      35.75   33.62   34.66
1859      31.86   29.88   30.85
1860      37.98   35.89   36.92
1861      37.24   35.66   36.44
1862      38.96   37.58   38.27
1863      39.30   37.34   38.30
1864      38.47   36.65   37.54
1865      37.29   35.45   36.35
1866      34.76   32.54   33.62
1867      40.30   38.23   39.24
1868      38.64   36.81   37.71
1869      41.46   39.46   40.44
1870      38.35   36.34   37.32
1871      33.88   32.00   32.92
1872      37.76   35.20   36.45
1873      40.47   37.93   39.17
1874      42.51   40.07   41.26
1875      39.38   37.12   38.22
1876      41.65   39.12   40.35
1877      43.38   40.73   42.02
1878      42.35   39.87   41.08
1879      43.14   40.79   41.93
1880      41.81   38.95   40.34
1881      44.15   41.57   42.83
1882      45.20   42.36   43.74
1883      43.60   41.05   42.30
1884      42.53   40.08   41.28
1885      44.43   42.08   43.23
1886      43.52   40.39   41.92
1887      46.46   43.46   44.93
1888      45.63   42.78   44.17
1889      45.61   43.07   44.31
1890      45.71   43.07   44.36
1891      45.63   42.87   44.22
1892      45.24   42.62   43.90
1893      47.16   44.40   45.75
1894      48.35   45.49   46.89
1895      48.16   45.16   46.63
1896      49.90   47.24   48.55
1897      51.07   47.74   49.37
1898      50.56   47.59   49.05
1899      50.75   47.98   49.34
1900      49.82   47.01   48.38
1901      50.33   47.16   48.71
1902      51.95   49.30   50.60
1903      53.01   49.96   51.45
1904      52.18   49.56   50.85
1905      53.46   50.70   52.05
1906      53.80   51.66   52.71
1907      54.71   52.26   53.47
1908      53.95   51.53   52.71
1909      56.14   53.74   54.92
1910      56.22   54.03   55.10
1911      54.26   52.03   53.12
1912      58.18   56.17   57.16
1913      58.42   56.26   57.32
1914      58.29   56.07   57.16
1915      58.18   56.25   57.20
1916      57.18   55.18   56.16
1917      56.70   54.62   55.64
1918      48.64   46.61   47.61
1919      55.79   54.15   54.95
1920      58.76   56.86   57.79
1921      60.57   58.92   59.73
1922      60.46   59.11   59.77
1923      62.76   61.24   61.99
1924      63.57   62.28   62.91
1925      63.92   62.34   63.12
1926      63.70   62.31   62.99
1927      63.36   61.89   62.61
1928      64.50   62.94   63.70
1929      62.89   61.45   62.15
1930      65.41   63.96   64.67
1931      64.99   63.66   64.31
1932      66.05   64.75   65.38
1933      66.69   65.41   66.04
1934      67.34   65.88   66.60
1935      67.25   65.79   66.50
1936      67.42   66.09   66.74
1937      67.72   66.22   66.96
1938      68.24   66.54   67.38
1939      68.55   66.93   67.73
1940      67.29   63.59   65.40
1941      66.88   63.80   65.31
1942      67.64   64.10   65.82
1943      66.22   62.71   64.43
1944      63.59   59.06   61.25
1945      61.06   50.64   55.44
1946      68.92   66.31   67.59
1947      70.82   68.27   69.53
1948      72.39   69.73   71.05
1949      71.58   69.01   70.28
1950      72.59   70.32   71.44
1951      72.76   70.26   71.50
1952      73.28   70.96   72.12
1953      72.99   70.42   71.69
1954      73.84   70.96   72.39
1955      74.09   70.94   72.50
1956      74.10   70.97   72.52
1957      74.59   71.39   72.97
1958      74.84   71.46   73.14
1959      75.16   71.24   73.17
1960      75.31   71.45   73.36
1961      75.72   71.43   73.55
1962      75.57   70.96   73.22
1963      75.77   71.01   73.35
1964      76.27   71.28   73.73
1965      76.16   71.13   73.60
1966      76.13   71.05   73.55
1967      76.58   71.17   73.83
1968      76.44   70.94   73.64
1969      76.28   70.91   73.56
1970      76.52   70.83   73.62
1971      76.80   71.02   73.86
1972      76.82   70.84   73.78
1973      77.17   71.34   74.22
1974      77.65   71.64   74.61
1975      77.72   71.46   74.55
1976      77.90   71.53   74.67
1977      78.50   72.08   75.26
1978      78.47   71.93   75.17
1979      78.88   72.43   75.65
1980      79.14   72.44   75.77
1981      79.27   72.69   75.98
1982      79.39   72.73   76.06
1983      79.56   72.93   76.25
1984      79.66   72.95   76.32
1985      79.64   73.06   76.37
1986      79.58   73.07   76.34
1987      80.04   73.50   76.81
1988      80.22   73.68   76.99
1989      79.91   73.66   76.83
1990      80.08   73.82   77.00
1991      80.14   74.04   77.15
1992      80.27   74.30   77.36
1993      79.99   73.98   77.04
1994      80.30   74.57   77.51
1995      80.35   74.60   77.54
1996      80.33   74.65   77.55
1997      80.53   75.16   77.92
1998      80.67   75.18   78.00
1999      80.44   75.33   77.96
2000      80.57   75.53   78.12
2001      80.70   75.80   78.33
2002      80.68   75.99   78.41
2003      80.92   76.24   78.66
2004      81.43   76.87   79.23
2005      81.59   77.20   79.48
2006      81.89   77.63   79.84
2007      82.31   78.01   80.25
2008      82.28   78.32   80.38
2009      82.64   78.53   80.66
