Russia, Life expectancy at birth (period, 1x1)     Last modified: 03-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1959      71.14   62.84   67.68
1960      72.31   63.67   68.69
1961      72.63   63.91   68.96
1962      72.27   63.67   68.64
1963      72.78   64.12   69.12
1964      73.58   64.89   69.92
1965      73.33   64.37   69.51
1966      73.55   64.29   69.57
1967      73.43   64.02   69.35
1968      73.56   63.73   69.26
1969      73.29   63.07   68.76
1970      73.44   63.07   68.83
1971      73.77   63.24   69.08
1972      73.62   63.24   68.98
1973      73.56   63.28   68.96
1974      73.77   63.12   68.96
1975      73.23   62.48   68.32
1976      73.04   62.19   68.06
1977      73.19   61.82   67.90
1978      73.23   61.83   67.91
1979      73.02   61.49   67.58
1980      72.96   61.38   67.48
1981      73.18   61.61   67.69
1982      73.64   62.24   68.24
1983      73.41   62.15   68.06
1984      72.96   61.71   67.56
1985      73.23   62.72   68.26
1986      74.22   64.77   69.86
1987      74.26   64.83   69.88
1988      74.25   64.61   69.73
1989      74.50   64.20   69.59
1990      74.32   63.76   69.22
1991      74.23   63.41   68.96
1992      73.71   61.96   67.84
1993      71.85   58.80   65.07
1994      71.07   57.38   63.81
1995      71.60   58.11   64.51
1996      72.41   59.61   65.79
1997      72.85   60.84   66.72
1998      73.12   61.19   67.05
1999      72.42   59.86   65.92
2000      72.25   58.99   65.30
2001      72.16   58.88   65.20
2002      71.89   58.63   64.91
2003      71.84   58.50   64.81
2004      72.31   58.85   65.24
2005      72.41   58.85   65.29
2006      73.24   60.33   66.57
2007      73.90   61.33   67.48
2008      74.18   61.78   67.86
2009      74.70   62.73   68.66
2010      74.79   62.95   68.83
