Northern Ireland, Life expectancy at birth (period, 1x10)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1922-1929      55.81   54.96   55.36
1930-1939      59.06   57.45   58.25
1940-1949      63.74   61.09   62.42
1950-1959      70.71   66.80   68.78
1960-1969      73.14   67.97   70.57
1970-1979      74.21   67.65   70.90
1980-1989      76.55   70.31   73.46
1990-1999      78.76   73.27   76.10
2000-2009      80.80   75.94   78.45
2010-2011      82.05   77.47   79.82
