West Germany, Life expectancy at birth (period, 1x5)     Last modified: 10-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1956-1959      71.45   66.31   68.97
1960-1964      72.69   67.05   69.98
1965-1969      73.50   67.47   70.62
1970-1974      74.14   67.69   71.06
1975-1979      75.57   68.92   72.42
1980-1984      77.16   70.49   74.03
1985-1989      78.60   72.07   75.55
1990-1994      79.45   73.07   76.44
1995-1999      80.43   74.30   77.51
2000-2004      81.46   75.83   78.76
2005-2009      82.39   77.30   79.92
2010-2011      82.83   78.08   80.50
