England and Wales, Total Population, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1841-1844      42.54   40.59   41.55
1845-1849      40.37   38.43   39.38
1850-1854      41.93   39.88   40.89
1855-1859      42.34   40.29   41.30
1860-1864      42.75   40.35   41.53
1865-1869      42.81   40.03   41.40
1870-1874      43.75   40.59   42.15
1875-1879      45.13   41.77   43.43
1880-1884      46.44   43.31   44.86
1885-1889      47.52   44.34   45.92
1890-1894      47.14   43.79   45.45
1895-1899      48.39   44.86   46.61
1900-1904      50.43   46.60   48.50
1905-1909      53.28   49.53   51.39
1910-1914      55.44   50.84   53.13
1915-1919      55.00   40.32   47.14
1920-1924      60.14   56.09   58.12
1925-1929      61.32   57.26   59.30
1930-1934      63.10   59.01   61.07
1935-1939      65.12   60.79   62.97
1940-1944      66.30   58.24   62.17
1945-1949      69.79   63.26   66.52
1950-1954      72.10   66.89   69.55
1955-1959      73.54   67.86   70.76
1960-1964      74.15   68.16   71.21
1965-1969      74.94   68.69   71.87
1970-1974      75.42   69.18   72.34
1975-1979      76.15   70.03   73.13
1980-1984      77.23   71.29   74.31
1985-1989      78.00   72.31   75.22
1990-1994      79.01   73.58   76.36
1995-1999      79.70   74.69   77.26
2000-2004      80.72   76.19   78.52
2005-2009      81.84   77.67   79.81
2010-2011      82.74   78.84   80.84
