Scotland, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1855-1859      45.01   41.93   43.52
1860-1864      43.00   40.43   41.75
1865-1869      43.79   41.07   42.46
1870-1874      42.95   40.08   41.54
1875-1879      44.90   42.23   43.59
1880-1884      46.09   43.44   44.79
1885-1889      47.45   45.20   46.35
1890-1894      46.65   44.27   45.48
1895-1899      48.09   45.24   46.68
1900-1904      49.27   46.21   47.75
1905-1909      51.10   48.33   49.73
1910-1914      52.98   49.88   51.44
1915-1919      52.45   48.97   50.71
1920-1924      56.75   53.38   55.06
1925-1929      58.45   54.72   56.59
1930-1934      59.92   56.28   58.11
1935-1939      61.79   57.75   59.78
1940-1944      62.88   55.70   59.63
1945-1949      66.40   61.89   64.20
1950-1954      69.46   64.87   67.22
1955-1959      71.26   65.93   68.66
1960-1964      72.16   66.23   69.24
1965-1969      73.09   66.95   70.08
1970-1974      73.75   67.37   70.62
1975-1979      74.49   68.19   71.40
1980-1984      75.51   69.36   72.51
1985-1989      76.31   70.34   73.41
1990-1994      77.22   71.52   74.45
1995-1999      78.02   72.41   75.29
2000-2004      78.94   73.60   76.34
2005-2009      79.92   75.10   77.57
2010-2011      80.75   76.29   78.58
