Iceland, Life expectancy at birth (period, 1x5)     Last modified: 26-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1838-1839      31.80   28.45   30.13
1840-1844      36.90   32.43   34.63
1845-1849      34.38   30.47   32.40
1850-1854      42.71   37.29   39.95
1855-1859      39.06   33.68   36.32
1860-1864      30.45   25.78   28.03
1865-1869      34.86   29.11   31.89
1870-1874      36.95   32.30   34.62
1875-1879      44.20   36.78   40.44
1880-1884      34.06   30.18   32.12
1885-1889      49.03   42.74   45.87
1890-1894      48.86   43.90   46.39
1895-1899      52.25   46.45   49.37
1900-1904      52.39   47.96   50.23
1905-1909      53.13   47.12   50.11
1910-1914      57.76   52.06   54.93
1915-1919      57.82   52.56   55.22
1920-1924      58.76   52.25   55.47
1925-1929      61.19   58.42   59.88
1930-1934      63.81   59.93   61.91
1935-1939      65.82   60.74   63.28
1940-1944      67.45   62.59   65.01
1945-1949      71.25   67.60   69.44
1950-1954      74.25   69.86   72.07
1955-1959      75.42   70.96   73.17
1960-1964      76.11   71.13   73.55
1965-1969      76.40   71.09   73.66
1970-1974      77.23   71.23   74.11
1975-1979      79.28   73.37   76.23
1980-1984      79.91   73.80   76.75
1985-1989      80.12   75.09   77.57
1990-1994      80.89   76.18   78.52
1995-1999      81.12   76.77   78.94
2000-2004      82.43   78.62   80.54
2005-2009      83.17   79.55   81.36
