Italy, Life expectancy at birth (period, 1x5)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1872-1874      31.54   30.91   31.22
1875-1879      34.00   33.49   33.73
1880-1884      34.85   34.48   34.65
1885-1889      36.81   36.89   36.84
1890-1894      39.22   39.11   39.15
1895-1899      42.11   41.74   41.92
1900-1904      43.34   42.94   43.13
1905-1909      44.78   44.07   44.41
1910-1914      48.11   47.33   47.71
1915-1919      41.99   32.45   36.88
1920-1924      50.25   48.91   49.57
1925-1929      52.83   51.03   51.92
1930-1934      56.68   54.36   55.52
1935-1939      57.81   55.02   56.42
1940-1944      57.64   48.86   53.07
1945-1949      62.55   58.40   60.49
1950-1954      68.08   64.40   66.27
1955-1959      70.61   66.05   68.35
1960-1964      72.25   66.89   69.59
1965-1969      73.65   67.92   70.79
1970-1974      75.12   69.08   72.11
1975-1979      76.69   70.12   73.41
1980-1984      78.02   71.39   74.72
1985-1989      79.48   72.94   76.26
1990-1994      80.62   73.98   77.35
1995-1999      81.74   75.42   78.65
2000-2004      82.99   77.17   80.18
2005-2009      84.04   78.74   81.49
