Japan, Life expectancy at birth (period, 1x5)     Last modified: 12-Mar-2014, MPv5 (May07)

  Year        Female   Male    Total
1947-1949      57.29   53.63   55.45
1950-1954      63.91   60.38   62.14
1955-1959      68.42   64.03   66.20
1960-1964      71.44   66.46   68.92
1965-1969      73.88   68.64   71.24
1970-1974      75.70   70.40   73.06
1975-1979      77.80   72.58   75.24
1980-1984      79.55   74.05   76.87
1985-1989      81.21   75.46   78.42
1990-1994      82.33   76.20   79.36
1995-1999      83.57   76.99   80.37
2000-2004      85.08   78.18   81.72
2005-2009      85.91   79.07   82.57
2010-2012      86.22   79.66   83.01
