Latvia, Life expectancy at birth (period, 1x5)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1960-1964      73.81   66.39   70.51
1965-1969      74.55   66.28   70.77
1970-1974      74.61   65.39   70.28
1975-1979      74.10   63.95   69.25
1980-1984      74.42   63.87   69.33
1985-1989      74.88   65.77   70.57
1990-1994      73.76   61.84   67.77
1995-1999      74.22   62.62   68.42
2000-2004      75.74   64.81   70.35
2005-2009      76.69   65.78   71.30
2010-2011      77.96   67.97   73.13
