Sweden, Life expectancy at birth (period, 1x5)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1751-1754      39.18   36.09   37.66
1755-1759      36.80   33.89   35.36
1760-1764      36.50   33.62   35.08
1765-1769      37.81   34.78   36.30
1770-1774      31.23   28.67   29.95
1775-1779      38.08   35.95   37.02
1780-1784      37.70   34.67   36.18
1785-1789      37.59   33.81   35.68
1790-1794      39.68   36.79   38.23
1795-1799      40.69   37.68   39.18
1800-1804      39.08   36.22   37.64
1805-1809      35.62   32.36   33.98
1810-1814      36.98   33.46   35.21
1815-1819      41.48   38.08   39.78
1820-1824      44.10   40.29   42.20
1825-1829      43.03   38.44   40.71
1830-1834      42.46   38.12   40.27
1835-1839      44.27   40.03   42.13
1840-1844      45.99   41.45   43.70
1845-1849      45.58   41.34   43.45
1850-1854      45.02   40.52   42.74
1855-1859      42.86   39.19   41.01
1860-1864      47.25   43.85   45.55
1865-1869      46.01   42.08   44.03
1870-1874      49.06   45.41   47.24
1875-1879      47.73   44.54   46.14
1880-1884      50.06   46.97   48.52
1885-1889      52.41   49.67   51.06
1890-1894      52.36   49.75   51.07
1895-1899      54.71   52.07   53.40
1900-1904      55.30   52.73   54.03
1905-1909      57.73   55.36   56.56
1910-1914      59.42   56.71   58.08
1915-1919      57.30   54.57   55.94
1920-1924      62.28   59.97   61.13
1925-1929      63.36   61.21   62.29
1930-1934      64.93   62.85   63.89
1935-1939      66.49   63.93   65.20
1940-1944      69.23   66.44   67.83
1945-1949      71.00   68.50   69.74
1950-1954      73.13   70.31   71.71
1955-1959      74.55   71.16   72.84
1960-1964      75.44   71.48   73.43
1965-1969      76.43   71.78   74.05
1970-1974      77.55   72.11   74.76
1975-1979      78.38   72.34   75.27
1980-1984      79.39   73.35   76.31
1985-1989      80.07   74.16   77.08
1990-1994      80.77   75.33   78.05
1995-1999      81.71   76.66   79.21
2000-2004      82.24   77.77   80.05
2005-2009      83.01   78.89   80.98
2010-2011      83.57   79.65   81.64
