"country_name","country_code","year","gdp_pc_ppp"
"Angola","AGO",1990,2737.7126065224
"Albania","ALB",1990,2843.94328072607
"Arab World","ARB",1990,6468.09862296488
"United Arab Emirates","ARE",1990,74292.1179328229
"Armenia","ARM",1990,2416.75880360594
"Antigua and Barbuda","ATG",1990,11097.8265433074
"Australia","AUS",1990,17357.6567413215
"Austria","AUT",1990,19513.8789509736
"Azerbaijan","AZE",1990,5507.79848053139
"Burundi","BDI",1990,679.661722421841
"Belgium","BEL",1990,19045.9734426658
"Benin","BEN",1990,881.052397349776
"Burkina Faso","BFA",1990,548.370293352249
"Bangladesh","BGD",1990,801.396912255072
"Bulgaria","BGR",1990,5409.57115873851
"Bahrain","BHR",1990,22901.4530530455
"Bahamas, The","BHS",1990,15720.252591024
"Belarus","BLR",1990,5229.79363978289
"Belize","BLZ",1990,3342.12583710075
"Bermuda","BMU",1990,26236.4647227903
"Bolivia","BOL",1990,2419.63822349037
"Brazil","BRA",1990,6467.58519664532
"Barbados","BRB",1990,8426.66479450087
"Brunei Darussalam","BRN",1990,49865.5502931046
"Bhutan","BTN",1990,1508.67577998005
"Botswana","BWA",1990,5236.66713175052
"Central African Republic","CAF",1990,504.43876434206
"Canada","CAN",1990,20019.8112659983
"Central Europe and the Baltics","CEB",1990,7070.29288516469
"Switzerland","CHE",1990,26765.4557705998
"Chile","CHL",1990,4382.94265061581
"China","CHN",1990,962.804924120225
"Cote d'Ivoire","CIV",1990,2092.15773920717
"Cameroon","CMR",1990,1791.00277643195
"Congo, Rep.","COG",1990,3405.44198827953
"Colombia","COL",1990,5015.06539177708
"Comoros","COM",1990,996.449266747582
"Cabo Verde","CPV",1990,1041.2663311578
"Costa Rica","CRI",1990,4744.22254657637
"Caribbean small states","CSS",1990,5663.89281380342
"Cuba","CUB",1990,8755.05281297439
"Cyprus","CYP",1990,12320.9558718435
"Czech Republic","CZE",1990,12731.225349088
"Germany","DEU",1990,19054.6664680575
"Djibouti","DJI",1990,1973.05444517246
"Dominica","DMA",1990,4309.12892841041
"Denmark","DNK",1990,18795.2982985754
"Dominican Republic","DOM",1990,3418.20822350604
"Algeria","DZA",1990,6542.60681193943
"East Asia & Pacific (developing only)","EAP",1990,1380.75403914696
"East Asia & Pacific (all income levels)","EAS",1990,3137.94485938404
"Europe & Central Asia (developing only)","ECA",1990,5194.10709436035
"Europe & Central Asia (all income levels)","ECS",1990,11457.8417520867
"Ecuador","ECU",1990,4879.24888630778
"Egypt, Arab Rep.","EGY",1990,3897.15518106465
"Euro area","EMU",1990,16876.3552309309
"Spain","ESP",1990,13707.9363704834
"Ethiopia","ETH",1990,422.173836862345
"European Union","EUU",1990,15005.8181732532
"Fragile and conflict affected situations","FCS",1990,1860.77820149947
"Finland","FIN",1990,17927.2098514189
"Fiji","FJI",1990,3683.54841356222
"France","FRA",1990,17556.9654959251
"Micronesia, Fed. Sts.","FSM",1990,1787.59481332648
"Gabon","GAB",1990,12387.597217009
"United Kingdom","GBR",1990,17549.2821442437
"Georgia","GEO",1990,5187.54370166232
"Ghana","GHA",1990,1223.7795218722
"Guinea","GIN",1990,729.669639560997
"Gambia, The","GMB",1990,981.416969163837
"Guinea-Bissau","GNB",1990,1012.0023465168
"Equatorial Guinea","GNQ",1990,679.671099433853
"Greece","GRC",1990,13367.7019617315
"Grenada","GRD",1990,4845.00444840174
"Guatemala","GTM",1990,3438.65043895835
"Guyana","GUY",1990,2090.12237408385
"High income","HIC",1990,16907.3138775676
"Hong Kong SAR, China","HKG",1990,17456.1957828534
"Honduras","HND",1990,2073.562083957
"Heavily indebted poor countries (HIPC)","HPC",1990,965.725522792415
"Indonesia","IDN",1990,2778.87270185549
"India","IND",1990,1149.40430324153
"Ireland","IRL",1990,13371.6151524307
