Finland, Life expectancy at birth (cohort, 1x1)     Last modified: 16-Nov-2010, MPv5 (May07)

Year     Female    Male   Total
1878      44.91   40.12   42.49
1879      44.70   39.55   42.11
1880      43.99   38.66   41.31
1881      44.60   39.66   42.11
1882      45.74   40.16   42.93
1883      46.20   40.65   43.43
1884      45.62   40.32   42.98
1885      46.38   41.18   43.79
1886      47.47   41.58   44.53
1887      46.97   41.02   44.00
1888      46.69   40.95   43.83
1889      47.09   40.98   44.02
1890      47.53   41.13   44.31
1891      47.66   41.34   44.49
1892      48.65   42.35   45.48
1893      50.25   43.62   46.90
1894      50.74   43.53   47.10
1895      50.04   42.90   46.42
1896      49.84   42.04   45.89
1897      50.05   42.27   46.10
1898      49.92   41.99   45.91
1899      50.09   42.06   46.01
1900      50.72   42.96   46.76
1901      51.88   44.01   47.86
1902      53.05   45.05   48.98
1903      53.61   45.56   49.49
1904      53.70   45.18   49.36
1905      54.22   45.87   49.99
1906      55.58   46.60   50.99
1907      56.15   46.97   51.46
1908      56.50   47.03   51.64
1909      56.67   47.49   51.97
1910      57.08   47.64   52.24
1911      58.31   47.73   52.82
1912      58.37   47.65   52.85
1913      58.58   47.31   52.77
1914      58.88   47.47   53.03
1915      58.98   46.99   52.83
1916      58.92   46.57   52.60
1917      59.98   46.80   53.20
1918      60.24   46.88   53.37
