France, Total Population, Life expectancy at birth (cohort, 1x1)     Last modified: 08-Jan-2014, MPv5 (May07)

Year     Female    Male   Total
1816      39.84   37.62   38.69
1817      39.72   37.43   38.54
1818      39.99   37.58   38.75
1819      39.55   37.12   38.30
1820      40.91   38.65   39.75
1821      39.31   37.09   38.16
1822      39.07   37.04   38.03
1823      39.19   37.19   38.16
1824      38.87   36.85   37.83
1825      40.12   38.36   39.21
1826      39.26   37.21   38.21
1827      39.63   37.39   38.48
1828      39.90   37.52   38.68
1829      40.37   37.88   39.09
1830      41.29   39.02   40.13
1831      40.00   37.61   38.77
1832      40.53   38.02   39.24
1833      39.99   37.36   38.63
1834      40.19   37.60   38.86
1835      41.97   39.73   40.82
1836      41.38   39.06   40.19
1837      41.50   39.39   40.42
1838      41.67   39.61   40.61
1839      42.00   39.80   40.88
1840      43.08   40.98   42.01
1841      42.13   39.82   40.94
1842      42.29   39.91   41.07
1843      42.50   40.12   41.28
1844      43.04   40.37   41.67
1845      43.20   40.52   41.83
1846      42.09   38.96   40.49
1847      42.26   38.99   40.59
1848      42.35   38.65   40.47
1849      42.14   38.75   40.40
1850      43.79   40.47   42.09
1851      42.91   39.37   41.09
1852      43.31   39.78   41.51
1853      42.88   39.53   41.16
1854      42.53   39.10   40.78
1855      43.99   40.73   42.32
1856      42.58   39.40   40.96
1857      42.43   39.20   40.78
1858      42.18   38.83   40.47
1859      42.87   39.70   41.24
1860      45.72   42.43   44.05
1861      43.83   40.40   42.07
1862      44.34   40.77   42.51
1863      43.81   40.24   41.99
1864      43.69   40.12   41.86
1865      45.20   41.84   43.49
1866      45.26   41.28   43.23
1867      44.45   40.17   42.25
1868      44.52   39.87   42.14
1869      44.17   39.35   41.69
1870      44.87   40.18   42.48
1871      44.83   40.57   42.64
1872      46.15   41.95   44.00
1873      46.62   42.24   44.38
1874      47.33   42.64   44.92
1875      48.59   43.93   46.21
1876      48.05   42.75   45.34
1877      48.09   42.42   45.18
1878      48.24   41.93   45.01
1879      47.87   41.31   44.50
1880      49.23   41.85   45.50
1881      48.60   40.25   44.29
1882      49.14   40.16   44.53
1883      49.03   39.88   44.32
1884      49.19   39.82   44.39
1885      51.01   41.19   45.98
1886      50.12   39.99   44.96
1887      50.40   39.59   44.90
1888      50.89   39.56   45.09
1889      50.93   38.97   44.77
1890      52.52   39.65   45.99
1891      51.43   38.18   44.60
1892      51.56   37.16   44.12
1893      52.62   38.69   45.45
1894      53.15   37.52   45.02
1895      54.64   38.69   46.31
1896      54.83   39.75   46.83
1897      54.43   43.97   49.06
1898      54.04   44.17   48.96
1899      54.70   46.73   50.59
1900      55.89   48.12   51.87
1901      56.89   49.23   52.92
1902      57.45   50.01   53.59
1903      57.64   50.02   53.70
1904      57.92   50.09   53.87
1905      58.75   50.90   54.69
1906      59.50   51.85   55.56
1907      60.01   52.07   55.91
1908      60.31   52.26   56.16
1909      61.52   53.21   57.25
1910      61.53   53.05   57.17
1911      60.39   51.90   56.03
1912      63.23   54.58   58.78
1913      63.00   54.37   58.56
1914      63.50   54.13   58.70
1915      62.71   53.09   57.73
1916      61.88   52.02   56.77
1917      62.21   51.45   56.60
1918      62.66   51.76   56.96
1919      63.90   52.66   58.01
1920      67.23   57.28   62.09
1921      67.30   57.52   62.27
