England and Wales, Civilian National Population, Life expectancy at birth (cohort, 1x1)     Last modified: 26-Apr-2013, MPv5 (May07)

Year     Female    Male   Total
1841      43.20   40.01   41.60
1842      43.00   39.88   41.43
1843      42.98   39.65   41.30
1844      42.80   39.41   41.09
1845      42.69   39.29   40.98
1846      42.27   38.90   40.57
1847      43.59   40.05   41.81
1848      43.64   40.05   41.82
1849      43.79   40.35   42.05
1850      44.97   41.50   43.22
1851      44.04   40.46   42.23
1852      44.04   40.60   42.30
1853      44.30   40.85   42.55
1854      44.66   41.28   42.95
1855      45.31   41.80   43.54
1856      45.21   41.71   43.44
1857      45.09   41.42   43.24
1858      45.54   41.79   43.65
1859      45.22   41.49   43.33
1860      46.72   42.99   44.84
1861      46.66   42.79   44.71
1862      47.23   43.34   45.27
1863      47.09   43.17   45.11
1864      46.82   42.96   44.87
1865      47.09   43.15   45.10
1866      47.59   43.51   45.53
1867      47.87   43.73   45.79
1868      48.09   44.06   46.06
1869      48.60   44.38   46.47
1870      49.73   45.48   47.59
1871      49.92   45.60   47.75
1872      50.39   45.98   48.17
1873      50.43   45.86   48.13
1874      50.28   45.64   47.95
1875      50.88   45.93   48.39
1876      51.33   46.33   48.83
1877      51.59   46.38   49.00
1878      51.83   46.43   49.15
1879      52.45   46.96   49.74
1880      53.72   48.24   51.03
1881      53.92   48.33   51.18
1882      53.94   48.19   51.14
1883      53.81   47.83   50.91
1884      53.79   47.63   50.81
1885      54.21   47.84   51.15
1886      54.11   47.61   51.01
1887      54.61   47.91   51.46
1888      54.58   47.75   51.43
1889      54.20   47.21   51.00
1890      55.02   47.99   51.85
1891      54.75   47.42   51.44
1892      55.30   47.93   51.99
1893      55.35   47.99   52.07
1894      55.77   48.31   52.44
1895      55.37   47.92   52.02
1896      55.99   48.64   52.63
1897      55.74   48.51   52.35
1898      55.94   48.84   52.55
1899      56.33   49.39   52.92
1900      57.56   50.88   54.22
1901      58.19   51.37   54.75
1902      59.25   52.54   55.86
1903      59.15   52.50   55.80
1904      59.55   52.84   56.17
1905      60.44   53.70   57.05
1906      60.96   54.23   57.56
1907      61.94   55.11   58.50
1908      62.07   55.31   58.67
1909      62.53   55.84   59.17
1910      62.01   55.31   58.65
1911      62.76   56.06   59.40
1912      64.04   57.25   60.64
1913      63.51   56.68   60.10
1914      63.68   56.89   60.30
1915      64.77   57.93   61.38
1916      65.07   58.09   61.65
1917      66.47   59.22   63.05
1918      65.82   58.39   62.32
1919      68.67   61.74   65.30
1920      66.80   59.96   63.41
