England and Wales, Total Population, Life expectancy at birth (cohort, 1x1)     Last modified: 26-Apr-2013, MPv5 (May07)

Year     Female    Male   Total
1841      43.20   40.01   41.59
1842      43.00   39.88   41.43
1843      42.99   39.65   41.30
1844      42.80   39.41   41.09
1845      42.69   39.29   40.98
1846      42.27   38.90   40.57
1847      43.59   40.05   41.81
1848      43.64   40.05   41.82
1849      43.79   40.34   42.05
1850      44.97   41.50   43.22
1851      44.04   40.46   42.23
1852      44.04   40.60   42.30
1853      44.30   40.85   42.55
1854      44.66   41.28   42.95
1855      45.31   41.80   43.54
1856      45.21   41.71   43.45
1857      45.09   41.42   43.24
1858      45.55   41.79   43.65
1859      45.22   41.49   43.33
1860      46.72   42.99   44.83
1861      46.66   42.79   44.71
1862      47.23   43.34   45.27
1863      47.09   43.17   45.11
1864      46.82   42.96   44.88
1865      47.09   43.15   45.10
1866      47.59   43.51   45.53
1867      47.87   43.73   45.79
1868      48.09   44.06   46.06
1869      48.60   44.37   46.46
1870      49.73   45.47   47.59
1871      49.91   45.58   47.73
1872      50.39   45.95   48.15
1873      50.43   45.81   48.10
1874      50.29   45.55   47.90
1875      50.88   45.80   48.31
1876      51.33   46.15   48.72
1877      51.59   46.13   48.85
1878      51.84   46.13   48.98
1879      52.44   46.58   49.51
1880      53.72   47.77   50.75
1881      53.91   47.77   50.85
1882      53.94   47.51   50.74
1883      53.81   47.01   50.42
1884      53.79   46.64   50.22
1885      54.22   46.65   50.44
1886      54.11   46.21   50.18
1887      54.61   46.28   50.46
1888      54.58   45.90   50.27
1889      54.20   45.14   49.68
1890      55.03   45.62   50.34
1891      54.75   44.85   49.78
1892      55.30   45.04   50.14
1893      55.35   44.85   50.06
1894      55.77   44.83   50.24
1895      55.37   44.28   49.75
1896      55.99   44.85   50.34
1897      55.74   44.96   50.25
1898      55.94   45.90   50.84
1899      56.33   47.47   51.83
1900      57.56   50.02   53.75
1901      58.19   51.17   54.64
1902      59.25   52.48   55.82
1903      59.15   52.44   55.75
1904      59.55   52.77   56.12
1905      60.44   53.61   56.98
1906      60.96   54.10   57.48
1907      61.94   54.93   58.39
1908      62.07   55.10   58.53
1909      62.53   55.58   59.00
1910      62.01   55.01   58.45
1911      62.76   55.68   59.16
1912      64.04   56.82   60.37
1913      63.51   56.21   59.80
1914      63.69   56.35   59.97
1915      64.78   57.30   60.98
1916      65.09   57.33   61.12
1917      66.49   58.31   62.31
1918      65.82   57.46   61.54
1919      68.67   60.45   64.46
1920      66.91   59.02   62.85
