Scotland, Life expectancy at birth (cohort, 1x1)     Last modified: 26-Apr-2013, MPv5 (May07)

Year     Female    Male   Total
1855      45.16   42.81   43.98
1856      44.31   42.11   43.20
1857      44.73   42.44   43.58
1858      45.20   42.67   43.93
1859      44.14   41.78   42.96
1860      44.09   41.36   42.72
1861      44.61   41.91   43.26
1862      45.21   42.48   43.84
1863      45.53   42.85   44.18
1864      45.61   42.98   44.29
1865      46.23   43.38   44.80
1866      46.36   43.79   45.07
1867      46.59   44.09   45.33
1868      46.52   44.03   45.26
1869      46.36   43.60   44.96
1870      46.34   43.69   45.00
1871      46.98   44.17   45.55
1872      47.92   45.11   46.49
1873      48.61   45.63   47.10
1874      48.76   45.68   47.20
1875      49.31   46.18   47.73
1876      49.81   46.78   48.29
1877      50.16   47.18   48.67
1878      50.68   47.60   49.15
1879      50.57   47.69   49.14
1880      50.93   47.79   49.38
1881      51.40   48.21   49.83
1882      51.83   48.43   50.17
1883      52.29   48.46   50.42
1884      52.30   48.35   50.37
1885      52.67   48.78   50.79
1886      52.64   48.65   50.71
1887      53.11   48.87   51.06
1888      53.29   48.86   51.15
1889      52.52   47.89   50.27
1890      52.72   48.06   50.47
1891      53.33   48.42   50.96
1892      54.12   49.23   51.76
1893      54.32   49.22   51.87
1894      55.05   49.67   52.46
1895      55.23   49.58   52.52
1896      55.21   49.45   52.45
1897      54.79   49.05   52.04
1898      55.32   49.41   52.46
1899      55.82   49.73   52.83
1900      56.48   50.22   53.38
1901      57.54   51.02   54.28
1902      58.30   51.77   55.03
1903      57.96   51.53   54.75
1904      58.38   51.80   55.10
1905      58.94   52.32   55.65
1906      58.97   52.65   55.83
1907      59.51   53.08   56.31
1908      59.81   53.23   56.54
1909      60.33   53.79   57.08
1910      60.35   53.87   57.14
1911      60.61   54.17   57.42
1912      60.59   53.90   57.27
1913      60.56   54.06   57.36
1914      59.83   53.44   56.70
1915      61.14   54.54   57.92
1916      61.49   54.82   58.29
1917      62.49   55.32   59.15
1918      61.44   53.64   57.95
1919      63.92   55.40   60.24
1920      63.03   54.68   59.32
