Iceland, Life expectancy at birth (cohort, 1x1)     Last modified: 15-Nov-2011, MPv5 (May07)

Year     Female    Male   Total
1838      32.76   29.53   31.16
1839      34.79   31.14   32.98
1840      40.34   35.28   37.73
1841      43.57   36.98   40.31
1842      41.77   33.41   37.50
1843      38.45   31.07   34.69
1844      41.78   35.20   38.50
1845      29.04   24.94   26.92
1846      23.31   19.15   21.12
1847      34.00   28.48   31.13
1848      41.68   31.92   36.83
1849      39.54   35.07   37.31
1850      40.31   33.26   36.75
1851      42.92   38.04   40.44
1852      42.64   38.69   40.69
1853      41.64   36.63   39.21
1854      39.70   33.93   36.73
1855      38.94   32.01   35.36
1856      38.28   32.71   35.48
1857      38.59   33.97   36.28
1858      36.12   32.21   34.17
1859      34.38   30.27   32.31
1860      38.55   30.70   34.57
1861      38.00   31.71   34.80
1862      40.69   36.30   38.50
1863      44.50   38.71   41.55
1864      44.18   38.52   41.33
1865      43.26   37.19   40.09
1866      41.81   36.31   38.99
1867      42.76   35.96   39.33
1868      39.56   33.76   36.68
1869      40.03   34.29   37.07
1870      42.09   36.20   39.10
1871      36.81   32.52   34.66
1872      39.22   35.76   37.52
1873      48.52   40.53   44.46
1874      49.42   41.05   45.16
1875      48.60   41.03   44.80
1876      47.57   41.79   44.67
1877      47.94   43.73   45.89
1878      46.78   42.50   44.66
1879      46.26   42.27   44.28
1880      42.63   37.13   39.88
1881      36.04   30.82   33.40
1882      36.66   31.55   34.07
1883      48.05   44.56   46.24
1884      53.33   48.93   51.07
1885      53.79   48.21   50.96
1886      52.97   48.18   50.54
1887      52.96   48.24   50.56
1888      54.85   50.80   52.79
1889      52.09   47.08   49.51
1890      50.80   45.73   48.21
1891      58.48   54.27   56.37
1892      61.07   55.23   58.08
1893      59.50   54.02   56.65
1894      58.08   53.03   55.50
1895      57.10   52.61   54.92
1896      57.03   54.34   55.67
1897      55.46   52.27   53.84
1898      57.51   53.72   55.60
1899      59.98   54.92   57.40
1900      60.28   54.29   57.30
1901      59.10   53.71   56.31
1902      57.73   54.01   55.81
1903      60.76   56.67   58.59
1904      62.94   57.43   60.02
1905      62.01   55.25   58.50
1906      62.66   55.75   58.93
1907      58.63   52.99   55.74
1908      59.25   53.86   56.48
1909      62.12   56.75   59.30
1910      64.05   58.45   61.07
1911      65.87   59.90   62.87
1912      66.78   60.10   63.34
1913      67.48   59.54   63.35
1914      66.87   59.17   62.89
1915      67.26   60.77   63.89
1916      69.21   60.80   64.74
1917      70.34   62.07   66.03
1918      69.21   62.68   65.84
1919      67.22   61.62   64.32
