Norway, Life expectancy at birth (cohort, 1x1)     Last modified: 18-Mar-2011, MPv5 (May07)

Year     Female    Male   Total
1846      50.66   47.80   49.23
1847      51.33   48.15   49.74
1848      51.59   48.01   49.81
1849      53.53   51.16   52.36
1850      52.43   49.70   51.08
1851      53.35   50.06   51.71
1852      52.33   48.95   50.67
1853      52.91   50.29   51.62
1854      52.98   50.32   51.67
1855      52.17   49.36   50.78
1856      51.84   49.39   50.63
1857      52.08   49.47   50.78
1858      51.08   48.25   49.68
1859      51.56   48.91   50.26
1860      49.58   46.81   48.21
1861      50.32   46.78   48.59
1862      51.64   48.66   50.19
1863      52.58   49.45   51.07
1864      52.85   49.52   51.22
1865      53.58   50.63   52.16
1866      52.72   48.87   50.84
1867      52.14   48.40   50.30
1868      52.77   49.42   51.13
1869      53.12   49.60   51.41
1870      53.71   50.15   51.97
1871      53.71   50.46   52.11
1872      52.67   49.75   51.24
1873      52.90   49.33   51.14
1874      52.68   49.47   51.08
1875      52.99   49.63   51.32
1876      53.56   49.81   51.70
1877      53.76   50.81   52.29
1878      54.34   50.93   52.65
1879      54.15   51.33   52.77
1880      53.71   50.18   51.96
1881      54.08   50.85   52.50
1882      54.29   51.02   52.69
1883      55.65   52.05   53.89
1884      55.01   51.26   53.16
1885      55.45   52.32   53.93
1886      55.84   52.55   54.22
1887      56.21   53.21   54.74
1888      55.76   52.19   54.00
1889      56.79   52.82   54.82
1890      57.57   53.14   55.37
1891      57.78   53.53   55.65
1892      58.71   54.14   56.40
1893      59.44   54.51   56.95
1894      59.90   54.84   57.34
1895      60.38   55.24   57.77
1896      60.53   55.31   57.89
1897      60.89   55.47   58.16
1898      61.02   55.47   58.22
1899      61.42   55.61   58.49
1900      62.48   56.79   59.62
1901      63.37   57.44   60.38
1902      64.04   58.49   61.26
1903      64.30   58.74   61.51
1904      65.30   59.05   62.16
1905      65.25   59.32   62.29
1906      66.97   60.48   63.69
1907      67.01   60.61   63.78
1908      67.24   60.91   64.01
1909      67.89   61.55   64.67
1910      68.43   61.72   65.00
1911      69.01   62.15   65.49
1912      69.36   62.24   65.70
1913      69.48   62.60   65.95
1914      69.68   62.55   66.00
1915      69.90   62.41   66.08
1916      71.03   63.15   66.99
1917      71.39   63.92   67.57
1918      71.80   63.84   67.72
