France, Civilian Population, Life expectancy at birth (cohort, 1x10)     Last modified: 08-Jan-2014, MPv5 (May07)

  Year        Female   Male    Total
1816-1819      39.78   38.57   38.57
1820-1829      39.67   38.57   38.57
1830-1839      41.07   39.87   39.87
1840-1849      42.53   41.11   41.11
1850-1859      42.97   41.26   41.26
1860-1869      44.53   42.56   42.56
1870-1879      47.10   44.83   44.83
1880-1889      49.90   47.10   47.10
1890-1899      53.49   50.06   50.06
1900-1909      58.75   54.94   54.94
1910-1919      63.09   58.98   58.98
