Sweden, Life expectancy at birth (cohort, 1x10)     Last modified: 23-Aug-2012, MPv5 (May07)

  Year        Female   Male    Total
1751-1759      36.54   35.05   35.05
1760-1769      35.75   34.13   34.13
1770-1779      36.80   35.13   35.13
1780-1789      38.59   36.80   36.80
1790-1799      39.83   37.79   37.79
1800-1809      40.41   38.21   38.21
1810-1819      43.78   41.69   41.69
1820-1829      46.83   44.88   44.88
1830-1839      48.00   45.98   45.98
1840-1849      48.55   46.67   46.67
1850-1859      48.31   46.69   46.69
1860-1869      49.72   48.35   48.35
1870-1879      50.93   49.72   49.72
1880-1889      54.77   53.30   53.30
1890-1899      59.01   56.91   56.91
1900-1909      64.81   62.22   62.22
1910-1919      69.65   66.55   66.55
