Denmark, Life expectancy at birth (cohort, 1x5)     Last modified: 20-Dec-2012, MPv5 (May07)

  Year        Female   Male    Total
1835-1839      45.55   44.23   44.23
1840-1844      45.92   44.77   44.77
1845-1849      44.74   43.47   43.47
1850-1854      45.46   44.44   44.44
1855-1859      47.83   46.89   46.89
1860-1864      47.89   47.04   47.04
1865-1869      50.24   49.37   49.37
1870-1874      51.20   50.39   50.39
1875-1879      51.69   50.98   50.98
1880-1884      53.48   52.57   52.57
1885-1889      54.53   53.35   53.35
1890-1894      57.20   55.49   55.49
1895-1899      60.44   58.11   58.11
1900-1904      63.24   60.58   60.58
1905-1909      65.32   62.38   62.38
1910-1914      67.63   64.52   64.52
1915-1919      68.75   65.52   65.52
