England and Wales, Total Population, Life expectancy at birth (cohort, 1x5)     Last modified: 26-Apr-2013, MPv5 (May07)

  Year        Female   Male    Total
1841-1844      43.00   41.35   41.35
1845-1849      43.20   41.45   41.45
1850-1854      44.40   42.65   42.65
1855-1859      45.28   43.44   43.44
1860-1864      46.91   44.96   44.96
1865-1869      47.86   45.80   45.80
1870-1874      50.16   47.90   47.90
1875-1879      51.62   48.88   48.88
1880-1884      53.84   50.60   50.60
1885-1889      54.34   50.21   50.21
1890-1894      55.24   50.11   50.11
1895-1899      55.88   50.60   50.60
1900-1904      58.74   55.22   55.22
1905-1909      61.58   58.07   58.07
1910-1914      63.21   59.55   59.55
1915-1919      66.15   62.07   62.07
