Iceland, Life expectancy at birth (cohort, 1x5)     Last modified: 15-Nov-2011, MPv5 (May07)

  Year        Female   Male    Total
1838-1839      33.78   32.06   32.06
1840-1844      41.22   37.77   37.77
1845-1849      33.71   30.75   30.75
1850-1854      41.46   38.78   38.78
1855-1859      37.17   34.68   34.68
1860-1864      41.25   38.25   38.25
1865-1869      41.57   38.54   38.54
1870-1874      43.36   40.27   40.27
1875-1879      47.44   44.85   44.85
1880-1884      43.22   40.84   40.84
1885-1889      53.31   50.84   50.84
1890-1894      57.67   55.06   55.06
1895-1899      57.39   55.46   55.46
1900-1904      60.17   57.64   57.64
1905-1909      60.93   57.80   57.80
1910-1914      66.23   62.71   62.71
1915-1919      68.67   64.99   64.99
