Chile, Life expectancy at birth (period, 1x1)     Last modified: 21-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1992      77.47   71.45   74.49
1993      77.65   71.42   74.56
1994      78.18   71.82   75.02
1995      78.21   71.64   74.93
1996      78.58   71.87   75.23
1997      79.04   72.53   75.80
1998      79.01   72.77   75.91
1999      79.12   73.01   76.09
2000      79.87   73.70   76.82
2001      79.75   73.55   76.67
2002      80.33   74.05   77.22
2003      80.39   74.22   77.34
2004      80.43   74.37   77.44
2005      80.74   74.80   77.81
2006      81.04   75.27   78.21
2007      80.54   74.76   77.69
2008      81.13   75.33   78.27
