Finland, Life expectancy at birth (period, 1x1)     Last modified: 26-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1878      40.08   38.21   39.15
1879      46.09   43.74   44.92
1880      41.11   38.19   39.64
1881      38.94   36.32   37.62
1882      41.90   38.93   40.40
1883      44.33   41.08   42.69
1884      44.40   41.23   42.80
1885      42.47   40.02   41.25
1886      42.24   39.41   40.81
1887      46.67   44.36   45.52
1888      46.26   43.92   45.09
1889      46.33   43.46   44.89
1890      46.11   43.04   44.56
1891      43.90   41.18   42.53
1892      41.28   38.16   39.69
1893      44.96   41.71   43.31
1894      46.39   43.97   45.18
1895      49.23   45.97   47.58
1896      47.74   45.25   46.50
1897      49.42   46.76   48.09
1898      49.30   46.71   48.00
1899      45.62   43.05   44.33
1900      43.18   40.34   41.74
1901      44.13   41.50   42.80
1902      47.53   44.83   46.17
1903      48.05   45.14   46.59
1904      48.41   45.91   47.16
1905      47.55   44.45   45.99
1906      48.67   45.39   47.02
1907      48.57   45.32   46.93
1908      47.66   44.50   46.06
1909      50.12   47.14   48.63
1910      49.90   47.07   48.49
1911      50.40   46.99   48.68
1912      50.74   47.45   49.08
1913      50.75   47.28   49.01
1914      51.28   48.11   49.69
1915      51.08   47.93   49.50
1916      49.73   46.30   48.00
1917      48.33   44.66   46.47
1918      43.59   26.32   32.79
1919      45.58   40.63   43.05
1920      49.91   45.21   47.53
1921      54.75   50.03   52.37
1922      54.15   49.66   51.89
1923      54.93   50.08   52.49
1924      52.64   47.79   50.18
1925      55.98   50.84   53.39
1926      56.25   51.37   53.80
1927      54.40   49.32   51.83
1928      56.18   51.21   53.68
1929      53.82   48.73   51.25
1930      57.03   51.90   54.45
1931      57.27   52.46   54.86
1932      58.23   53.31   55.77
1933      58.17   52.73   55.43
1934      58.69   53.37   56.02
1935      59.94   54.77   57.36
1936      58.50   53.80   56.15
1937      59.82   54.39   57.10
1938      59.75   54.66   57.20
1939      59.80   50.04   54.64
1940      57.86   38.58   46.60
1941      60.77   37.10   46.50
1942      61.53   47.42   53.96
1943      61.94   51.06   56.30
1944      59.19   39.48   48.04
1945      61.14   53.27   57.17
1946      64.38   56.12   60.24
1947      64.57   56.42   60.49
1948      65.98   57.92   61.97
1949      66.12   57.63   61.86
1950      67.92   60.37   64.20
1951      68.84   62.25   65.64
1952      69.49   63.35   66.53
1953      69.75   63.24   66.59
1954      70.65   64.22   67.54
1955      70.66   63.84   67.35
1956      71.17   64.57   67.98
1957      70.60   64.12   67.46
1958      71.71   65.28   68.60
1959      72.16   65.24   68.79
1960      72.39   65.40   68.99
1961      72.24   65.61   69.01
1962      72.24   65.09   68.73
1963      72.68   65.51   69.17
1964      72.96   65.65   69.38
1965      72.85   65.29   69.12
1966      73.17   65.96   69.64
1967      73.59   65.92   69.82
1968      73.56   65.87   69.77
1969      73.56   65.63   69.64
1970      74.40   66.16   70.32
1971      74.31   65.91   70.14
1972      75.02   66.60   70.86
1973      75.68   66.97   71.37
1974      75.55   66.93   71.28
1975      76.14   67.42   71.83
1976      76.32   67.53   71.98
1977      76.95   67.96   72.51
1978      77.42   68.58   73.08
1979      77.54   68.97   73.35
1980      77.85   69.24   73.64
1981      78.10   69.61   73.96
1982      78.59   70.22   74.53
1983      78.36   70.24   74.43
1984      78.76   70.48   74.74
1985      78.51   70.14   74.42
1986      78.76   70.56   74.76
1987      78.71   70.67   74.79
1988      78.69   70.66   74.76
1989      78.90   70.87   74.97
1990      78.88   70.94   74.98
1991      79.32   71.33   75.40
1992      79.44   71.67   75.64
1993      79.47   72.11   75.88
1994      80.15   72.80   76.57
1995      80.21   72.81   76.59
1996      80.55   73.03   76.87
1997      80.51   73.43   77.06
1998      80.84   73.51   77.26
1999      81.02   73.74   77.45
2000      81.02   74.15   77.67
2001      81.53   74.57   78.14
2002      81.53   74.86   78.27
2003      81.81   75.13   78.53
2004      82.27   75.30   78.84
2005      82.29   75.53   78.97
2006      82.82   75.81   79.37
2007      82.86   75.86   79.39
2008      83.01   76.32   79.70
2009      83.14   76.51   79.86
