England and Wales, Total Population, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1841      42.63   40.58   41.59
1842      42.18   40.38   41.26
1843      42.79   40.81   41.78
1844      42.47   40.50   41.46
1845      43.51   41.46   42.46
1846      40.92   38.87   39.87
1847      39.26   37.29   38.26
1848      40.47   38.42   39.43
1849      38.14   36.50   37.31
1850      43.63   41.83   42.72
1851      42.33   40.36   41.33
1852      41.94   39.77   40.84
1853      41.62   39.38   40.48
1854      40.30   38.27   39.26
1855      42.13   39.84   40.96
1856      44.30   42.09   43.18
1857      42.77   40.87   41.80
1858      40.89   39.05   39.95
1859      41.76   39.76   40.74
1860      44.07   41.78   42.91
1861      43.47   41.14   42.28
1862      43.64   41.28   42.44
1863      41.56   39.14   40.33
1864      41.20   38.64   39.90
1865      41.97   39.24   40.58
1866      41.67   39.07   40.35
1867      44.01   41.14   42.55
1868      43.32   40.58   41.93
1869      43.06   40.15   41.59
1870      42.40   39.40   40.87
1871      42.81   39.72   41.24
1872      44.50   41.21   42.84
1873      45.38   42.09   43.71
1874      43.63   40.50   42.04
1875      43.38   40.21   41.77
1876      45.37   41.91   43.61
1877      46.48   42.86   44.64
1878      44.58   41.35   42.95
1879      45.87   42.55   44.19
1880      45.34   42.09   43.69
1881      47.63   44.51   46.05
1882      46.32   43.31   44.80
1883      46.63   43.46   45.02
1884      46.28   43.17   44.71
1885      47.23   44.18   45.69
1886      46.84   43.71   45.26
1887      47.13   44.08   45.59
1888      48.47   45.06   46.75
1889      47.92   44.65   46.27
1890      46.50   42.92   44.69
1891      45.98   42.49   44.21
1892      47.05   43.84   45.43
1893      46.42   43.20   44.80
1894      49.91   46.64   48.27
1895      47.30   44.03   45.65
1896      49.02   45.67   47.34
1897      49.05   45.30   47.15
1898      48.72   45.14   46.92
1899      47.94   44.24   46.08
1900      48.21   44.35   46.26
1901      49.79   45.94   47.85
1902      50.99   47.09   49.02
1903      52.29   48.45   50.36
1904      50.92   47.21   49.06
1905      52.66   48.96   50.80
1906      52.44   48.65   50.53
1907      53.25   49.54   51.39
1908      53.75   49.84   51.79
1909      54.28   50.65   52.46
1910      55.85   52.03   53.93
1911      53.46   49.53   51.48
1912      56.41   52.60   54.50
1913      55.85   51.73   53.77
1914      55.66   48.47   51.99
1915      54.32   42.90   48.29
1916      57.07   40.46   47.99
1917      57.24   37.22   46.00
1918      50.25   33.38   40.90
1919      56.62   51.49   54.07
1920      58.73   54.29   56.51
1921      60.22   56.26   58.25
1922      59.52   55.65   57.60
1923      61.68   57.69   59.70
1924      60.69   56.70   58.71
1925      60.83   56.88   58.87
1926      62.05   58.01   60.04
1927      61.37   57.26   59.33
1928      62.53   58.33   60.45
1929      59.97   55.91   57.95
1930      63.46   59.10   61.30
1931      62.42   58.26   60.35
1932      63.02   59.01   61.03
1933      62.92   58.99   60.98
1934      63.73   59.73   61.75
1935      64.55   60.45   62.52
1936      64.42   60.12   62.28
1937      64.47   60.18   62.34
1938      65.94   61.40   63.69
1939      66.23   61.82   64.05
1940      63.93   57.33   60.57
1941      64.82   58.68   61.72
1942      67.38   59.25   63.21
1943      67.29   58.03   62.51
1944      68.21   57.72   62.76
1945      68.73   55.74   61.86
1946      69.26   64.70   67.02
1947      69.17   64.45   66.84
1948      71.12   66.48   68.85
1949      70.72   66.14   68.48
1950      71.31   66.51   68.96
1951      71.03   65.90   68.51
1952      72.48   67.09   69.84
1953      72.62   67.32   70.04
1954      73.13   67.65   70.45
1955      73.09   67.58   70.40
1956      73.36   67.77   70.62
1957      73.59   67.83   70.77
1958      73.77   67.99   70.94
1959      73.88   68.14   71.08
1960      74.16   68.26   71.28
1961      73.88   68.02   71.01
1962      74.00   68.00   71.05
1963      73.95   67.92   70.98
1964      74.79   68.61   71.76
1965      74.82   68.56   71.74
1966      74.75   68.48   71.66
1967      75.26   69.09   72.24
1968      74.92   68.74   71.88
1969      74.98   68.64   71.85
1970      75.21   68.91   72.10
1971      75.50   69.22   72.41
1972      75.26   69.05   72.20
1973      75.50   69.27   72.42
1974      75.68   69.48   72.62
1975      75.89   69.73   72.86
1976      75.87   69.75   72.85
1977      76.35   70.24   73.34
1978      76.29   70.16   73.26
1979      76.39   70.28   73.38
1980      76.76   70.74   73.80
1981      77.07   71.08   74.13
1982      77.17   71.26   74.26
1983      77.40   71.48   74.49
1984      77.76   71.90   74.89
1985      77.54   71.80   74.72
1986      77.84   72.03   74.99
1987      78.13   72.42   75.33
1988      78.23   72.56   75.45
1989      78.30   72.81   75.62
1990      78.69   73.04   75.93
1991      78.78   73.28   76.09
1992      79.14   73.72   76.50
1993      78.98   73.68   76.39
1994      79.49   74.21   76.92
1995      79.37   74.14   76.81
1996      79.59   74.47   77.09
1997      79.75   74.79   77.33
1998      79.88   74.95   77.48
1999      79.95   75.12   77.59
2000      80.38   75.63   78.07
2001      80.60   75.96   78.34
2002      80.71   76.13   78.48
2003      80.67   76.32   78.56
2004      81.26   76.91   79.15
2005      81.40   77.18   79.35
2006      81.69   77.39   79.60
2007      81.84   77.66   79.80
2008      81.89   77.83   79.91
2009      82.43   78.29   80.41
2010      82.55   78.63   80.64
2011      82.94   79.05   81.04
