Scotland, Life expectancy at birth (period, 1x1)     Last modified: 05-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1855      44.33   41.46   42.96
1856      45.98   42.52   44.30
1857      45.10   41.78   43.49
1858      44.53   41.43   43.03
1859      45.15   42.47   43.86
1860      42.64   40.23   41.47
1861      45.31   42.65   44.01
1862      43.76   41.30   42.56
1863      41.89   39.34   40.65
1864      41.48   38.77   40.16
1865      43.23   40.59   41.94
1866      43.52   40.96   42.27
1867      44.93   42.12   43.55
1868      44.79   41.92   43.39
1869      42.48   39.78   41.16
1870      43.15   40.44   41.82
1871      42.42   40.41   41.45
1872      43.18   40.23   41.73
1873      43.82   40.34   42.09
1874      42.11   39.01   40.57
1875      41.93   39.85   40.91
1876      45.31   42.09   43.72
1877      46.09   42.88   44.51
1878      44.82   42.22   43.55
1879      46.40   44.08   45.27
1880      45.26   42.42   43.87
1881      46.79   44.03   45.44
1882      46.42   43.94   45.21
1883      45.62   43.12   44.40
1884      46.33   43.71   45.04
1885      46.75   44.48   45.64
1886      47.47   45.11   46.31
1887      46.94   44.74   45.87
1888      48.40   46.36   47.41
1889      47.66   45.28   46.50
1890      45.64   43.23   44.46
1891      45.06   42.75   43.92
1892      47.51   45.02   46.29
1893      46.01   43.56   44.81
1894      49.16   46.91   48.06
1895      46.49   43.67   45.08
1896      50.03   47.28   48.68
1897      47.67   44.89   46.30
1898      48.06   45.17   46.63
1899      48.34   45.30   46.83
1900      48.03   44.78   46.41
1901      48.12   45.25   46.70
1902      49.87   46.54   48.21
1903      50.53   47.39   48.97
1904      49.78   47.10   48.46
1905      51.09   48.25   49.69
1906      51.09   48.33   49.73
1907      50.69   48.16   49.44
1908      50.61   47.68   49.15
1909      52.05   49.26   50.67
1910      52.79   49.73   51.27
1911      52.99   49.95   51.48
1912      53.15   50.09   51.63
1913      53.07   49.89   51.49
1914      52.90   49.74   51.33
1915      50.73   47.08   48.90
1916      54.49   50.95   52.72
1917      54.49   50.75   52.61
1918      50.41   47.29   48.86
1919      52.50   49.06   50.79
1920      55.88   52.04   53.95
1921      57.48   54.34   55.92
1922      55.17   52.13   53.65
1923      58.97   55.68   57.34
1924      56.39   52.92   54.65
1925      58.27   54.37   56.32
1926      59.00   55.39   57.20
1927      58.67   54.88   56.78
1928      58.62   55.09   56.86
1929      57.79   53.91   55.84
1930      59.44   55.64   57.55
1931      59.91   56.15   58.04
1932      59.12   55.96   57.56
1933      60.49   56.73   58.62
1934      60.63   56.93   58.79
1935      61.20   57.48   59.35
1936      60.88   56.79   58.84
1937      60.91   56.73   58.83
1938      62.51   58.84   60.70
1939      63.45   58.90   61.18
1940      61.42   55.48   58.52
1941      60.96   53.60   57.64
1942      63.79   55.86   60.38
1943      63.60   55.64   60.26
1944      64.65   56.66   61.21
1945      65.93   59.68   63.03
1946      65.44   60.65   63.11
1947      65.52   61.19   63.39
1948      67.53   63.47   65.55
1949      67.53   63.69   65.66
1950      68.17   64.15   66.21
1951      68.42   64.14   66.33
1952      69.57   65.04   67.36
1953      70.67   65.59   68.19
1954      70.56   65.48   68.08
1955      70.67   65.74   68.27
1956      71.23   65.93   68.64
1957      71.43   65.85   68.69
1958      71.41   66.15   68.85
1959      71.56   65.96   68.81
1960      71.96   66.33   69.21
1961      71.89   66.15   69.07
1962      72.12   66.10   69.15
1963      71.98   65.87   68.96
1964      72.85   66.71   69.84
1965      72.72   66.60   69.71
1966      72.66   66.70   69.74
1967      73.68   67.45   70.64
1968      73.22   67.02   70.18
1969      73.21   67.01   70.17
1970      73.44   67.15   70.35
1971      73.96   67.55   70.82
1972      73.68   67.32   70.55
1973      73.87   67.34   70.65
1974      73.83   67.55   70.75
1975      74.41   67.91   71.22
1976      74.34   67.94   71.20
1977      74.74   68.44   71.66
1978      74.41   68.36   71.46
1979      74.55   68.36   71.51
1980      75.22   68.95   72.16
1981      75.42   69.10   72.33
1982      75.29   69.25   72.34
1983      75.73   69.64   72.77
1984      75.93   69.90   73.00
1985      75.84   70.04   73.02
1986      76.30   70.09   73.26
1987      76.55   70.48   73.60
1988      76.73   70.48   73.68
1989      76.18   70.66   73.50
1990      76.94   71.12   74.12
1991      77.15   71.38   74.35
1992      77.30   71.60   74.54
1993      76.98   71.41   74.27
1994      77.74   72.12   75.02
1995      77.69   72.11   74.99
1996      77.83   72.02   74.99
1997      78.11   72.57   75.42
1998      78.24   72.64   75.51
1999      78.25   72.72   75.55
2000      78.65   73.21   76.00
2001      78.85   73.40   76.20
2002      78.90   73.36   76.19
2003      78.90   73.76   76.40
2004      79.44   74.27   76.92
2005      79.51   74.69   77.18
2006      79.80   74.84   77.39
2007      79.84   74.84   77.40
2008      79.96   75.24   77.66
2009      80.45   75.87   78.22
2010      80.64   76.17   78.47
2011      80.85   76.40   78.69
