Iceland, Life expectancy at birth (period, 1x1)     Last modified: 26-Jun-2013, MPv5 (May07)

Year     Female    Male   Total
1838      34.23   30.56   32.40
1839      29.41   26.48   27.95
1840      32.61   31.24   31.94
1841      41.94   38.55   40.23
1842      45.14   35.58   40.14
1843      28.21   22.76   25.35
1844      44.96   40.81   42.91
1845      43.82   39.03   41.37
1846      18.82   17.86   18.32
1847      36.00   30.10   32.98
1848      44.54   38.45   41.47
1849      39.86   34.56   37.20
1850      38.29   35.00   36.62
1851      32.84   27.54   30.07
1852      43.70   40.45   42.05
1853      52.22   45.08   48.61
1854      47.17   39.35   43.08
1855      41.17   35.33   38.15
1856      46.56   38.40   42.34
1857      42.96   36.17   39.47
1858      36.67   33.00   34.84
1859      31.75   27.79   29.73
1860      21.46   18.21   19.77
1861      29.28   25.01   27.10
1862      28.41   25.55   26.98
1863      39.18   31.77   35.16
1864      38.75   31.27   34.86
1865      37.23   31.33   34.17
1866      28.86   25.61   27.19
1867      42.70   32.91   37.57
1868      38.66   30.90   34.64
1869      30.10   26.04   28.06
1870      42.51   34.46   38.34
1871      38.15   32.19   35.05
1872      25.88   24.34   25.18
1873      38.55   34.72   36.63
1874      41.99   37.28   39.66
1875      40.02   33.27   36.60
1876      43.12   37.40   40.31
1877      48.42   40.98   44.71
1878      44.82   38.47   41.63
1879      44.77   35.04   39.54
1880      44.73   39.91   42.34
1881      37.22   34.28   35.85
1882      18.83   16.76   17.76
1883      32.53   28.09   30.28
1884      45.51   38.93   42.18
1885      48.83   42.25   45.51
1886      47.25   42.81   44.99
1887      44.56   37.00   40.65
1888      51.08   42.79   46.83
1889      54.39   50.44   52.52
1890      38.90   34.27   36.58
1891      46.10   48.80   47.51
1892      55.53   49.87   52.74
1893      57.13   48.27   52.59
1894      49.24   40.73   44.79
1895      54.62   50.40   52.58
1896      56.04   50.39   53.27
1897      50.73   46.13   48.48
1898      47.70   40.83   44.19
1899      53.52   46.21   49.81
1900      49.61   43.72   46.65
1901      56.44   49.54   53.01
1902      51.84   49.29   50.60
1903      49.78   47.54   48.76
1904      54.96   50.23   52.64
1905      52.94   46.24   49.50
1906      59.15   48.45   53.55
1907      52.35   47.09   49.73
1908      48.91   42.77   45.79
1909      52.95   51.56   52.35
1910      54.60   50.57   52.65
1911      58.11   52.68   55.44
1912      59.39   52.67   56.01
1913      61.23   56.56   58.94
1914      55.51   48.35   51.90
1915      56.50   50.75   53.64
1916      58.57   50.58   54.48
1917      61.51   56.39   58.98
1918      52.73   49.41   51.08
1919      60.42   56.39   58.49
1920      56.34   52.64   54.56
1921      58.04   50.51   54.16
1922      60.91   53.14   56.93
1923      60.74   54.60   57.66
1924      57.66   50.50   54.00
1925      59.70   56.69   58.29
1926      62.92   58.47   60.75
1927      60.10   55.96   58.05
1928      62.20   61.09   61.74
1929      61.13   59.82   60.53
1930      62.55   57.83   60.25
1931      62.00   59.47   60.81
1932      64.13   60.05   62.13
1933      65.76   60.25   63.00
1934      64.72   61.89   63.36
1935      61.58   57.31   59.47
1936      66.38   59.15   62.72
1937      65.30   61.59   63.47
1938      68.25   62.02   65.08
1939      68.01   63.91   65.96
1940      68.74   62.85   65.77
1941      67.08   59.53   63.17
1942      65.99   62.26   64.12
1943      66.66   63.77   65.22
1944      69.01   64.51   66.77
1945      69.22   65.79   67.52
1946      71.74   65.44   68.54
1947      71.33   67.36   69.34
1948      70.64   69.66   70.19
1949      73.24   69.64   71.43
1950      73.53   68.53   71.02
1951      72.80   69.18   71.04
1952      74.89   70.10   72.50
1953      74.36   70.27   72.33
1954      75.62   71.07   73.35
1955      75.92   70.74   73.30
1956      74.32   71.52   72.95
1957      75.16   71.74   73.44
1958      75.97   70.97   73.40
1959      75.67   69.83   72.67
1960      75.79   72.45   74.09
1961      76.20   70.78   73.40
1962      76.08   71.40   73.67
1963      76.03   70.17   72.99
1964      76.35   70.93   73.55
1965      76.44   71.40   73.84
1966      76.33   70.26   73.20
1967      76.50   71.10   73.71
1968      76.41   71.54   73.90
1969      76.38   71.16   73.68
1970      77.24   70.68   73.80
1971      76.50   70.79   73.53
1972      76.89   72.13   74.46
1973      77.37   71.45   74.31
1974      77.92   71.07   74.33
1975      78.68   72.24   75.33
1976      79.89   73.71   76.69
1977      79.24   73.15   76.09
1978      79.30   73.66   76.41
1979      79.35   73.96   76.62
1980      80.07   73.39   76.62
1981      79.56   73.32   76.32
1982      79.45   74.53   76.95
1983      80.37   73.15   76.59
1984      80.20   74.72   77.40
1985      80.34   74.83   77.54
1986      80.77   75.41   78.05
1987      79.67   74.80   77.22
1988      79.81   74.41   77.04
1989      80.12   76.11   78.13
1990      80.53   75.36   77.94
1991      81.15   74.84   77.90
1992      80.73   76.72   78.74
1993      80.82   77.04   78.94
1994      81.27   77.10   79.21
1995      80.07   75.94   78.00
1996      81.16   76.50   78.80
1997      81.52   76.32   78.87
1998      81.53   77.69   79.63
1999      81.38   77.44   79.42
2000      81.54   77.85   79.71
2001      82.90   78.27   80.60
2002      82.34   78.52   80.44
2003      82.48   79.49   81.02
2004      82.89   78.90   80.91
2005      83.28   79.45   81.38
2006      82.78   79.37   81.10
2007      83.04   79.43   81.29
2008      83.08   79.78   81.45
2009      83.61   79.67   81.67
2010      83.84   79.73   81.83
