Latvia, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1959      72.64   65.54   69.48
1960      73.49   66.25   70.31
1961      73.92   66.33   70.54
1962      73.18   65.85   69.91
1963      73.66   66.19   70.30
1964      74.89   67.34   71.55
1965      74.85   66.79   71.22
1966      74.61   67.00   71.19
1967      74.21   66.74   70.86
1968      74.54   65.76   70.48
1969      74.55   65.27   70.21
1970      74.24   65.65   70.23
1971      74.80   65.75   70.57
1972      74.76   65.23   70.26
1973      74.49   65.35   70.20
1974      74.74   64.97   70.12
1975      74.16   63.93   69.27
1976      74.38   63.96   69.38
1977      74.15   64.29   69.46
1978      74.11   64.10   69.34
1979      73.71   63.51   68.82
1980      74.10   63.74   69.12
1981      74.37   63.43   69.07
1982      74.63   64.24   69.63
1983      74.57   63.86   69.39
1984      74.46   64.06   69.44
1985      73.99   64.73   69.59
1986      75.08   66.29   70.96
1987      75.10   66.37   71.01
1988      75.14   66.20   70.92
1989      75.09   65.33   70.41
1990      74.51   64.13   69.46
1991      74.49   63.68   69.17
1992      74.30   62.58   68.45
1993      73.21   60.39   66.63
1994      72.23   58.71   65.17
1995      72.68   59.72   66.01
1996      74.42   62.73   68.60
1997      74.67   63.61   69.21
1998      74.46   63.21   68.86
1999      74.95   64.18   69.64
2000      75.70   64.51   70.16
2001      75.43   64.24   69.88
2002      75.83   64.42   70.17
2003      75.69   65.32   70.62
2004      76.04   65.58   70.92
2005      76.26   64.91   70.61
2006      76.06   64.94   70.53
2007      76.19   65.28   70.77
2008      77.36   66.42   71.98
2009      77.55   67.48   72.67
2010      77.42   67.43   72.57
2011      78.52   68.53   73.72
