Portugal, Life expectancy at birth (period, 1x1)     Last modified: 13-Jan-2014, MPv5 (May07)

Year     Female    Male   Total
1940      53.60   49.09   51.39
1941      49.89   45.86   47.91
1942      51.86   47.70   49.83
1943      53.25   48.67   51.01
1944      55.04   49.64   52.37
1945      56.38   51.06   53.77
1946      56.20   50.99   53.64
1947      58.40   53.42   55.98
1948      59.24   54.03   56.71
1949      57.85   52.71   55.34
1950      61.03   55.79   58.48
1951      61.24   55.98   58.68
1952      62.20   57.17   59.76
1953      63.60   58.33   61.04
1954      64.78   59.43   62.18
1955      63.90   58.67   61.36
1956      63.76   58.46   61.17
1957      64.06   58.67   61.44
1958      66.42   60.88   63.73
1959      65.68   59.99   62.91
1960      66.91   61.28   64.17
1961      65.49   59.94   62.78
1962      67.22   61.26   64.30
1963      67.83   61.91   64.93
1964      68.03   62.16   65.16
1965      69.14   62.93   66.09
1966      68.76   62.36   65.60
1967      69.66   63.23   66.50
1968      69.88   63.61   66.80
1969      69.58   63.15   66.40
1970      70.12   63.88   67.06
1971      70.12   63.49   66.85
1972      72.28   65.93   69.17
1973      71.62   65.42   68.58
1974      72.37   65.80   69.13
1975      72.55   65.14   68.86
1976      72.70   65.46   69.08
1977      73.92   66.70   70.33
1978      74.18   67.34   70.79
1979      74.93   68.17   71.59
1980      75.17   68.11   71.66
1981      75.43   68.31   71.89
1982      76.18   69.15   72.70
1983      76.07   69.15   72.64
1984      76.45   69.36   72.93
1985      76.74   69.64   73.21
1986      77.07   70.15   73.64
1987      77.47   70.57   74.05
1988      77.64   70.50   74.09
1989      78.17   71.10   74.66
1990      77.80   70.76   74.29
1991      77.89   70.58   74.23
1992      78.59   71.14   74.87
1993      78.40   71.10   74.75
1994      79.25   72.15   75.72
1995      79.22   71.86   75.54
1996      79.23   71.73   75.48
1997      79.51   72.28   75.91
1998      79.75   72.47   76.11
1999      79.88   72.73   76.32
2000      80.34   73.26   76.82
2001      80.66   73.57   77.14
2002      80.81   73.86   77.36
2003      80.83   74.21   77.56
2004      81.76   74.93   78.39
2005      81.58   74.87   78.27
2006      82.48   75.47   79.02
2007      82.44   75.88   79.22
2008      82.64   76.21   79.49
2009      82.78   76.47   79.70
2010      83.04   76.74   79.97
2011      83.50   77.17   80.42
2012      83.38   77.25   80.40
