Slovakia, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1950      62.55   59.14   60.87
1951      63.34   59.21   61.28
1952      66.28   62.36   64.34
1953      67.51   63.75   65.65
1954      68.39   64.96   66.70
1955      69.82   65.83   67.84
1956      70.41   66.29   68.37
1957      69.50   65.38   67.45
1958      71.50   67.14   69.34
1959      71.29   66.74   69.03
1960      72.53   68.13   70.34
1961      73.01   68.53   70.78
1962      72.65   68.00   70.32
1963      73.21   68.20   70.70
1964      73.48   68.67   71.07
1965      72.79   67.81   70.28
1966      73.18   67.72   70.42
1967      73.76   68.23   70.97
1968      73.45   67.57   70.47
1969      73.05   66.68   69.80
1970      72.93   66.66   69.73
1971      73.26   66.62   69.86
1972      73.85   66.94   70.32
1973      73.40   66.79   70.02
1974      73.70   66.82   70.17
1975      73.93   66.85   70.30
1976      74.09   67.01   70.46
1977      74.28   66.75   70.41
1978      74.12   66.90   70.42
1979      74.56   67.11   70.74
1980      74.26   66.71   70.38
1981      74.70   66.79   70.63
1982      74.76   66.98   70.77
1983      74.52   66.65   70.47
1984      74.89   66.77   70.71
1985      74.75   66.88   70.72
1986      74.92   67.04   70.89
1987      75.10   67.19   71.06
1988      75.43   67.04   71.13
1989      75.29   66.80   70.94
1990      75.39   66.52   70.83
1991      75.25   66.77   70.91
1992      75.87   67.07   71.37
1993      76.14   67.74   71.88
1994      76.47   68.25   72.33
1995      76.30   68.27   72.26
1996      76.80   68.72   72.75
1997      76.68   68.73   72.71
1998      76.76   68.47   72.60
1999      77.13   68.87   72.99
2000      77.33   69.02   73.17
2001      77.69   69.50   73.60
2002      77.73   69.81   73.80
2003      77.83   69.82   73.85
2004      78.05   70.33   74.24
2005      78.11   70.19   74.18
2006      78.40   70.41   74.44
2007      78.36   70.58   74.50
2008      78.86   70.82   74.86
2009      78.95   71.36   75.20
