Slovenia, Life expectancy at birth (period, 1x1)     Last modified: 08-Jul-2013, MPv5 (May07)

Year     Female    Male   Total
1983      74.88   66.77   70.86
1984      75.28   67.22   71.30
1985      75.80   67.55   71.73
1986      76.14   68.27   72.29
1987      76.22   68.07   72.21
1988      76.79   68.80   72.88
1989      77.24   69.24   73.34
1990      77.69   69.77   73.83
1991      77.38   69.42   73.48
1992      77.48   69.57   73.62
1993      77.55   69.33   73.49
1994      77.70   70.01   73.95
1995      78.33   70.73   74.64
1996      78.87   71.07   75.08
1997      79.01   71.07   75.11
1998      79.07   71.23   75.22
1999      79.28   71.74   75.60
2000      79.76   72.18   76.06
2001      80.27   72.25   76.32
2002      80.46   72.58   76.58
2003      80.32   72.52   76.47
2004      80.73   73.49   77.21
2005      80.88   73.98   77.52
2006      81.80   74.39   78.16
2007      81.78   74.63   78.26
2008      82.25   75.44   78.91
2009      82.30   75.77   79.09
