Spain, Life expectancy at birth (period, 1x10)     Last modified: 11-Feb-2014, MPv5 (May07)

  Year        Female   Male    Total
1908-1909      42.21   40.19   41.19
1910-1919      41.83   39.93   40.86
1920-1929      47.33   44.52   45.90
1930-1939      52.94   47.00   49.88
1940-1949      58.75   52.50   55.60
1950-1959      68.13   63.48   65.86
1960-1969      73.10   67.82   70.52
1970-1979      76.24   70.42   73.37
1980-1989      79.60   73.12   76.40
1990-1999      81.67   74.50   78.09
2000-2009      83.72   77.17   80.46
2010-2012      85.06   79.20   82.16
