England and Wales, Total Population, Life expectancy at birth (period, 1x10)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1841-1849      41.31   39.36   40.31
1850-1859      42.14   40.10   41.10
1860-1869      42.78   40.19   41.47
1870-1879      44.46   41.20   42.81
1880-1889      46.99   43.84   45.40
1890-1899      47.78   44.34   46.05
1900-1909      51.86   48.07   49.95
1910-1919      55.18   45.09   49.96
1920-1929      60.71   56.64   58.69
1930-1939      64.10   59.89   62.01
1940-1949      68.09   60.73   64.35
1950-1959      72.82   67.38   70.16
1960-1969      74.56   68.43   71.55
1970-1979      75.78   69.59   72.73
1980-1989      77.62   71.80   74.76
1990-1999      79.35   74.13   76.80
2000-2009      81.28   76.93   79.16
2010-2011      82.74   78.84   80.84
