Iceland, Life expectancy at birth (period, 1x10)     Last modified: 26-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1838-1839      31.80   28.45   30.13
1840-1849      35.68   31.51   33.56
1850-1859      40.71   35.31   37.96
1860-1869      32.63   27.47   29.96
1870-1879      40.56   34.53   37.52
1880-1889      40.81   35.95   38.38
1890-1899      50.52   45.18   47.87
1900-1909      52.78   47.55   50.18
1910-1919      57.82   52.35   55.11
1920-1929      59.98   55.26   57.66
1930-1939      64.84   60.35   62.62
1940-1949      69.40   65.18   67.29
1950-1959      74.84   70.44   72.62
1960-1969      76.26   71.10   73.60
1970-1979      78.23   72.30   75.16
1980-1989      80.05   74.47   77.19
1990-1999      81.02   76.50   78.75
2000-2009      82.79   79.09   80.95
