Netherlands, Life expectancy at birth (period, 1x10)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1850-1859      37.65   35.83   36.73
1860-1869      38.40   36.50   37.43
1870-1879      40.25   37.88   39.04
1880-1889      44.29   41.57   42.90
1890-1899      48.25   45.42   46.80
1900-1909      52.95   50.30   51.60
1910-1919      56.02   53.97   54.98
1920-1929      62.43   60.91   61.65
1930-1939      66.97   65.52   66.23
1940-1949      67.60   63.43   65.47
1950-1959      73.85   70.89   72.36
1960-1969      76.04   71.12   73.54
1970-1979      77.66   71.50   74.54
1980-1989      79.65   73.08   76.38
1990-1999      80.31   74.57   77.51
2000-2009      81.50   77.03   79.34
