Norway, Life expectancy at birth (period, 1x10)     Last modified: 28-Jun-2013, MPv5 (May07)

  Year        Female   Male    Total
1846-1849      48.03   44.86   46.43
1850-1859      51.57   48.41   49.99
1860-1869      49.51   46.62   48.07
1870-1879      51.20   48.18   49.69
1880-1889      51.63   49.11   50.38
1890-1899      53.37   49.78   51.59
1900-1909      57.18   54.30   55.77
1910-1919      58.51   55.19   56.87
1920-1929      63.24   60.59   61.94
1930-1939      67.19   64.11   65.66
1940-1949      70.30   65.73   67.99
1950-1959      74.98   71.12   73.04
1960-1969      76.32   71.12   73.67
1970-1979      77.99   71.67   74.76
1980-1989      79.36   72.64   75.94
1990-1999      80.58   74.69   77.63
2000-2009      82.25   77.41   79.87
