New Zealand -- Non-Maori, Life expectancy at birth (period, 1x10)     Last modified: 08-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1901-1909      61.30   58.67   59.81
1910-1919      63.14   59.61   61.22
1920-1929      65.81   63.10   64.36
1930-1939      68.44   65.51   66.90
1940-1949      70.46   66.80   68.56
1950-1959      73.57   68.79   71.10
1960-1969      74.85   68.92   71.78
1970-1979      75.90   69.42   72.57
1980-1989      77.44   71.25   74.30
1990-1999      80.09   74.63   77.39
2000-2008      82.41   78.14   80.32
