Austria, Life expectancy at birth (period, 1x5)     Last modified: 03-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1947-1949      65.09   60.06   62.64
1950-1954      68.78   63.56   66.25
1955-1959      70.84   64.79   67.91
1960-1964      72.60   66.25   69.55
1965-1969      73.29   66.67   70.10
1970-1974      74.05   67.01   70.67
1975-1979      75.36   68.30   71.99
1980-1984      76.55   69.41   73.15
1985-1989      78.02   71.26   74.83
1990-1994      79.19   72.57   76.06
1995-1999      80.44   74.04   77.39
2000-2004      81.59   75.77   78.81
2005-2009      82.71   77.23   80.07
