Estonia, Life expectancy at birth (period, 1x5)     Last modified: 05-Jul-2013, MPv5 (May07)

  Year        Female   Male    Total
1960-1964      73.39   65.38   69.85
1965-1969      74.43   66.01   70.64
1970-1974      74.73   65.70   70.57
1975-1979      74.47   64.50   69.74
1980-1984      74.45   64.37   69.62
1985-1989      74.91   65.84   70.61
1990-1994      74.33   63.08   68.71
1995-1999      75.39   63.63   69.50
2000-2004      76.94   65.54   71.29
2005-2009      78.99   68.04   73.66
2010-2011      80.75   70.84   76.05
