"year","female","male","total","country_code"
1876,47.06,43.06,45.04,"che"
1877,48.14,44.27,46.19,"che"
1878,48.26,44.2,46.23,"che"
1879,48.69,44.25,46.45,"che"
1880,49.82,45.82,47.82,"che"
1881,51.16,46.94,49.06,"che"
1882,51.89,47.98,49.94,"che"
1883,52.12,48.41,50.27,"che"
1884,52.41,48.27,50.34,"che"
1885,52.39,48.35,50.39,"che"
1886,53.38,48.76,51.1,"che"
1887,53.14,48.47,50.82,"che"
1888,53.95,49.39,51.69,"che"
1889,54.41,49.8,52.14,"che"
1890,54.81,49.46,52.16,"che"
1891,55.93,50.75,53.39,"che"
1892,56.29,51.07,53.72,"che"
1893,56.39,51.3,53.89,"che"
1894,57.1,51.79,54.5,"che"
1895,57.48,51.87,54.7,"che"
1896,58.71,52.9,55.86,"che"
1897,58.53,52.97,55.8,"che"
1898,58.47,52.41,55.51,"che"
1899,59.14,53.15,56.19,"che"
1900,59.63,53.32,56.52,"che"
1901,61.08,54.97,58.09,"che"
1902,61.14,55.05,58.12,"che"
1903,61.29,55.47,58.42,"che"
1904,61.91,55.6,58.78,"che"
1905,63.09,56.39,59.77,"che"
1906,63.52,57.06,60.31,"che"
1907,64.73,57.78,61.26,"che"
1908,65.5,58.24,61.89,"che"
1909,65.12,58.52,61.85,"che"
1910,66.39,59.2,62.8,"che"
1911,66.29,59.09,62.71,"che"
1912,67.75,60.66,64.2,"che"
1913,68.41,61.21,64.8,"che"
1914,69.13,61.78,65.43,"che"
1915,69.58,62.14,65.85,"che"
1916,70.57,62.88,66.67,"che"
1917,70.43,63.04,66.71,"che"
1918,70.56,62.84,66.65,"che"
1919,71.06,63.31,67.17,"che"
1920,72.33,64.44,68.35,"che"
1835,45.4,42.46,43.92,"dnk"
1836,45.57,43,44.27,"dnk"
1837,45.82,43.28,44.54,"dnk"
1838,45,42.67,43.82,"dnk"
1839,45.93,43.21,44.56,"dnk"
1840,45.81,43.29,44.54,"dnk"
1841,45.79,43.8,44.78,"dnk"
1842,46.08,43.77,44.91,"dnk"
1843,46.1,43.76,44.93,"dnk"
1844,45.77,43.55,44.66,"dnk"
1845,44.05,41.48,42.75,"dnk"
1846,43.53,40.88,42.19,"dnk"
1847,44.45,42,43.22,"dnk"
1848,45.56,42.88,44.21,"dnk"
1849,45.98,43.7,44.84,"dnk"
1850,45.74,43.9,44.81,"dnk"
1851,44.88,43,43.93,"dnk"
1852,44.3,42.06,43.17,"dnk"
1853,45.52,43.06,44.28,"dnk"
1854,46.75,45.08,45.92,"dnk"
1855,47.43,45.62,46.52,"dnk"
1856,47.06,45.24,46.16,"dnk"
1857,47.34,45.6,46.47,"dnk"
1858,48.29,46.29,47.3,"dnk"
1859,48.9,46.97,47.93,"dnk"
1860,48.59,46.9,47.75,"dnk"
1861,48.04,46.44,47.25,"dnk"
1862,47.58,46.16,46.88,"dnk"
1863,47.69,45.74,46.72,"dnk"
1864,47.49,45.62,46.57,"dnk"
1865,49.16,47.53,48.35,"dnk"
1866,50.13,48.58,49.35,"dnk"
1867,50.19,48.45,49.32,"dnk"
1868,50.5,48.78,49.64,"dnk"
1869,51.25,49.17,50.22,"dnk"
1870,51.59,49.66,50.61,"dnk"
1871,51.29,50.05,50.66,"dnk"
1872,51.77,50.27,51.01,"dnk"
1873,51.03,49.36,50.18,"dnk"
1874,50.33,48.68,49.49,"dnk"
1875,50.82,49.32,50.06,"dnk"
1876,51.81,50.44,51.11,"dnk"
1877,51.94,50.79,51.36,"dnk"
1878,52.13,50.76,51.43,"dnk"
1879,51.68,50.13,50.89,"dnk"
1880,53.02,51.24,52.12,"dnk"
1881,53.2,51.51,52.35,"dnk"
1882,53.04,51.31,52.17,"dnk"
1883,53.57,51.78,52.67,"dnk"
1884,54.46,52.46,53.45,"dnk"
1885,54.54,52.59,53.56,"dnk"
1886,54,51.86,52.93,"dnk"
1887,54.57,52.2,53.39,"dnk"
1888,54.79,52.31,53.55,"dnk"
1889,54.68,51.88,53.28,"dnk"
1890,56.01,53.16,54.59,"dnk"
1891,56.45,53.18,54.81,"dnk"
1892,57.09,53.3,55.2,"dnk"
1893,57.57,54.06,55.82,"dnk"
1894,58.81,55.17,56.98,"dnk"
1895,59.75,55.53,57.64,"dnk"
1896,60.46,56.07,58.28,"dnk"
1897,60.62,56.06,58.33,"dnk"
1898,60.61,55.7,58.16,"dnk"
1899,60.73,55.51,58.12,"dnk"
1900,61.87,56.75,59.31,"dnk"
1901,62.43,57.02,59.72,"dnk"
1902,63.79,58.59,61.18,"dnk"
1903,63.95,58.68,61.31,"dnk"
1904,64.17,58.55,61.35,"dnk"
1905,64.32,58.96,61.62,"dnk"
1906,65.09,59.18,62.11,"dnk"
1907,64.81,59.02,61.88,"dnk"
1908,65.4,59.5,62.44,"dnk"
1909,66.87,60.78,63.79,"dnk"
1910,66.91,61,63.92,"dnk"
1911,66.97,61.23,64.06,"dnk"
1912,68.12,61.96,64.99,"dnk"
1913,68.09,61.79,64.9,"dnk"
1914,68.06,61.45,64.72,"dnk"
1915,67.84,61.53,64.64,"dnk"
1916,68.18,61.57,64.82,"dnk"
1917,69.35,62.82,66.05,"dnk"
1918,68.97,62.84,65.85,"dnk"
1919,69.39,63.16,66.22,"dnk"
1920,69.83,63.58,66.68,"dnk"
1878,44.91,40.12,42.49,"fin"
1879,44.7,39.55,42.11,"fin"
1880,43.99,38.66,41.31,"fin"
1881,44.6,39.66,42.11,"fin"
1882,45.74,40.16,42.93,"fin"
1883,46.2,40.65,43.43,"fin"
1884,45.62,40.32,42.98,"fin"
1885,46.38,41.18,43.79,"fin"
1886,47.47,41.58,44.53,"fin"
1887,46.97,41.02,44,"fin"
1888,46.69,40.95,43.83,"fin"
1889,47.09,40.98,44.02,"fin"
1890,47.53,41.13,44.31,"fin"
1891,47.66,41.34,44.49,"fin"
1892,48.65,42.35,45.48,"fin"
1893,50.25,43.62,46.9,"fin"
1894,50.74,43.53,47.1,"fin"
1895,50.04,42.9,46.42,"fin"
1896,49.84,42.04,45.89,"fin"
1897,50.05,42.27,46.1,"fin"
1898,49.92,41.99,45.91,"fin"
1899,50.09,42.06,46.01,"fin"
1900,50.72,42.96,46.76,"fin"
1901,51.88,44.01,47.86,"fin"
1902,53.05,45.05,48.98,"fin"
1903,53.61,45.56,49.49,"fin"
1904,53.7,45.18,49.36,"fin"
