Year,Gender,Age,Race,Hispanic Origin,Deaths,Population
1999,Female,14,White,Not Hispanic or Latino,1,1281157
1999,Female,15,White,Hispanic or Latino,1,256045
1999,Female,16,White,Hispanic or Latino,1,262358
1999,Female,18,White,Not Hispanic or Latino,2,1255805
1999,Female,19,American Indian or Alaska Native,Not Hispanic or Latino,1,19764
1999,Female,20,American Indian or Alaska Native,Not Hispanic or Latino,1,18674
1999,Female,20,White,Not Hispanic or Latino,3,0
1999,Female,21,Black or African American,Not Hispanic or Latino,1,269980
1999,Female,21,White,Not Hispanic or Latino,2,1175490
1999,Female,22,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Female,22,White,Not Hispanic or Latino,2,0
1999,Female,23,American Indian or Alaska Native,Not Hispanic or Latino,1,16520
1999,Female,23,White,Not Hispanic or Latino,1,1093448
1999,Female,24,Black or African American,Not Hispanic or Latino,1,255494
1999,Female,24,White,Not Hispanic or Latino,2,1125756
1999,Female,25,White,Not Hispanic or Latino,1,0
1999,Female,26,American Indian or Alaska Native,Not Hispanic or Latino,2,15874
1999,Female,26,Black or African American,Not Hispanic or Latino,2,260004
1999,Female,26,White,Not Hispanic or Latino,4,0
1999,Female,27,American Indian or Alaska Native,Not Hispanic or Latino,1,16734
1999,Female,27,Black or African American,Not Hispanic or Latino,1,274886
1999,Female,27,White,Not Hispanic or Latino,2,1248002
1999,Female,28,Black or African American,Not Hispanic or Latino,2,0
1999,Female,28,White,Hispanic or Latino,1,0
1999,Female,28,White,Not Hispanic or Latino,3,1342865
1999,Female,29,White,Hispanic or Latino,1,278164
1999,Female,29,White,Not Hispanic or Latino,6,1362862
1999,Female,30,American Indian or Alaska Native,Not Hispanic or Latino,2,16946
1999,Female,30,Black or African American,Not Hispanic or Latino,3,276946
1999,Female,30,White,Hispanic or Latino,1,0
1999,Female,30,White,Not Hispanic or Latino,9,1357139
1999,Female,31,American Indian or Alaska Native,Not Hispanic or Latino,3,15832
1999,Female,31,Black or African American,Not Hispanic or Latino,4,267952
1999,Female,31,White,Hispanic or Latino,4,260380
1999,Female,31,White,Not Hispanic or Latino,11,1289369
1999,Female,32,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Female,32,Asian or Pacific Islander,Not Hispanic or Latino,1,100979
1999,Female,32,Black or African American,Not Hispanic or Latino,3,272561
1999,Female,32,White,Hispanic or Latino,2,0
1999,Female,32,White,Not Hispanic or Latino,25,0
