Year,Age,Gender,Race,Hispanic Origin,Deaths,Population
1999,0,Female,American Indian or Alaska Native,Hispanic or Latino,8,6120
1999,0,Female,American Indian or Alaska Native,Not Hispanic or Latino,153,17758
1999,0,Female,American Indian or Alaska Native,Not Stated,2,NA
1999,0,Female,Asian or Pacific Islander,Hispanic or Latino,16,5279
1999,0,Female,Asian or Pacific Islander,Not Hispanic or Latino,316,73023
1999,0,Female,Asian or Pacific Islander,Not Stated,1,NA
1999,0,Female,Black or African American,Hispanic or Latino,59,17870
1999,0,Female,Black or African American,Not Hispanic or Latino,3824,280072
1999,0,Female,Black or African American,Not Stated,42,NA
1999,0,Female,White,Hispanic or Latino,1918,339713
1999,0,Female,White,Not Hispanic or Latino,5835,1112288
1999,0,Female,White,Not Stated,117,NA
1999,0,Male,American Indian or Alaska Native,Hispanic or Latino,16,6446
1999,0,Male,American Indian or Alaska Native,Not Hispanic or Latino,164,18491
1999,0,Male,Asian or Pacific Islander,Hispanic or Latino,15,5457
1999,0,Male,Asian or Pacific Islander,Not Hispanic or Latino,351,77026
1999,0,Male,Asian or Pacific Islander,Not Stated,6,NA
1999,0,Male,Black or African American,Hispanic or Latino,60,18796
1999,0,Male,Black or African American,Not Hispanic or Latino,4765,288647
1999,0,Male,Black or African American,Not Stated,72,NA
1999,0,Male,White,Hispanic or Latino,2320,356050
1999,0,Male,White,Not Hispanic or Latino,7718,1172726
1999,0,Male,White,Not Stated,159,NA
1999,1,Female,American Indian or Alaska Native,Not Hispanic or Latino,15,18990
1999,1,Female,Asian or Pacific Islander,Not Hispanic or Latino,17,76433
1999,1,Female,Black or African American,Hispanic or Latino,4,17772
1999,1,Female,Black or African American,Not Hispanic or Latino,214,284008
1999,1,Female,Black or African American,Not Stated,2,NA
1999,1,Female,White,Hispanic or Latino,167,321294
1999,1,Female,White,Not Hispanic or Latino,466,1119140
1999,1,Female,White,Not Stated,1,NA
1999,1,Male,American Indian or Alaska Native,Hispanic or Latino,1,6848
1999,1,Male,American Indian or Alaska Native,Not Hispanic or Latino,20,19705
1999,1,Male,Asian or Pacific Islander,Not Hispanic or Latino,36,77453
1999,1,Male,Black or African American,Hispanic or Latino,3,18385
1999,1,Male,Black or African American,Not Hispanic or Latino,300,292607
1999,1,Male,Black or African American,Not Stated,1,NA
1999,1,Male,White,Hispanic or Latino,182,334704
