Year,Gender,Age,Race,Hispanic Origin,Deaths,Population
1999,Female,0,American Indian or Alaska Native,Not Hispanic or Latino,2,0
1999,Female,0,Asian or Pacific Islander,Not Hispanic or Latino,5,0
1999,Female,0,Black or African American,Not Hispanic or Latino,56,280072
1999,Female,0,Black or African American,Not Stated,2,NA
1999,Female,0,White,Hispanic or Latino,27,339713
1999,Female,0,White,Not Hispanic or Latino,49,1112288
1999,Female,0,White,Not Stated,3,NA
1999,Female,1,American Indian or Alaska Native,Not Hispanic or Latino,1,18990
1999,Female,1,Black or African American,Not Hispanic or Latino,24,284008
1999,Female,1,White,Hispanic or Latino,15,321294
1999,Female,1,White,Not Hispanic or Latino,31,1119140
1999,Female,2,Asian or Pacific Islander,Not Hispanic or Latino,2,76757
1999,Female,2,Black or African American,Not Hispanic or Latino,31,282877
1999,Female,2,White,Hispanic or Latino,5,0
1999,Female,2,White,Not Hispanic or Latino,19,0
1999,Female,3,Black or African American,Not Hispanic or Latino,17,0
1999,Female,3,White,Hispanic or Latino,5,312875
1999,Female,3,White,Not Hispanic or Latino,13,0
1999,Female,4,American Indian or Alaska Native,Not Hispanic or Latino,1,18906
1999,Female,4,Asian or Pacific Islander,Not Hispanic or Latino,1,78142
1999,Female,4,Black or African American,Not Hispanic or Latino,5,0
1999,Female,4,White,Hispanic or Latino,2,325660
1999,Female,4,White,Not Hispanic or Latino,10,1169805
1999,Female,5,American Indian or Alaska Native,Not Hispanic or Latino,1,20841
1999,Female,5,Asian or Pacific Islander,Not Hispanic or Latino,2,77046
1999,Female,5,Black or African American,Not Hispanic or Latino,6,0
1999,Female,5,White,Hispanic or Latino,2,322373
1999,Female,5,White,Not Hispanic or Latino,7,0
1999,Female,5,White,Not Stated,1,NA
1999,Female,6,American Indian or Alaska Native,Not Hispanic or Latino,1,20857
1999,Female,6,Black or African American,Not Hispanic or Latino,7,0
1999,Female,6,White,Hispanic or Latino,4,0
1999,Female,6,White,Not Hispanic or Latino,9,1206171
1999,Female,7,American Indian or Alaska Native,Hispanic or Latino,1,6369
1999,Female,7,Asian or Pacific Islander,Not Hispanic or Latino,1,78135
1999,Female,7,Black or African American,Not Hispanic or Latino,6,329774
1999,Female,7,White,Hispanic or Latino,3,0
1999,Female,7,White,Not Hispanic or Latino,10,0
1999,Female,7,White,Not Stated,1,NA
1999,Female,8,American Indian or Alaska Native,Not Hispanic or Latino,1,22220
1999,Female,8,Asian or Pacific Islander,Not Hispanic or Latino,1,75737
1999,Female,8,Black or African American,Not Hispanic or Latino,4,0
1999,Female,8,White,Hispanic or Latino,2,308008
1999,Female,8,White,Not Hispanic or Latino,7,1272396
1999,Female,9,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Female,9,Black or African American,Not Hispanic or Latino,8,337339
1999,Female,9,White,Hispanic or Latino,1,294546
1999,Female,9,White,Not Hispanic or Latino,4,0
1999,Female,10,American Indian or Alaska Native,Hispanic or Latino,1,0
1999,Female,10,Black or African American,Not Hispanic or Latino,1,329927
1999,Female,10,White,Hispanic or Latino,2,0
1999,Female,10,White,Not Hispanic or Latino,7,0
1999,Female,11,Black or African American,Not Hispanic or Latino,5,0
1999,Female,11,White,Hispanic or Latino,4,0
1999,Female,11,White,Not Hispanic or Latino,3,0
1999,Female,12,Black or African American,Not Hispanic or Latino,4,301780
1999,Female,12,White,Hispanic or Latino,2,0
1999,Female,12,White,Not Hispanic or Latino,9,1269352
1999,Female,13,Asian or Pacific Islander,Not Hispanic or Latino,2,0
1999,Female,13,Black or African American,Not Hispanic or Latino,10,0
1999,Female,13,White,Hispanic or Latino,2,265614
1999,Female,13,White,Not Hispanic or Latino,10,0
1999,Female,14,Asian or Pacific Islander,Not Hispanic or Latino,1,76268
1999,Female,14,Black or African American,Not Hispanic or Latino,5,296423
1999,Female,14,White,Hispanic or Latino,6,258324
1999,Female,14,White,Not Hispanic or Latino,17,0
1999,Female,15,American Indian or Alaska Native,Not Hispanic or Latino,2,22244
1999,Female,15,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Female,15,Black or African American,Not Hispanic or Latino,11,0
1999,Female,15,White,Hispanic or Latino,7,256045
1999,Female,15,White,Not Hispanic or Latino,18,0
1999,Female,16,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Female,16,Black or African American,Hispanic or Latino,1,0
1999,Female,16,Black or African American,Not Hispanic or Latino,25,290319
1999,Female,16,Black or African American,Not Stated,1,NA
1999,Female,16,White,Hispanic or Latino,5,262358
1999,Female,16,White,Not Hispanic or Latino,14,0
1999,Female,17,Asian or Pacific Islander,Not Hispanic or Latino,2,78668
1999,Female,17,Asian or Pacific Islander,Not Stated,1,NA
1999,Female,17,Black or African American,Not Hispanic or Latino,29,0
1999,Female,17,White,Hispanic or Latino,13,0
1999,Female,17,White,Not Hispanic or Latino,25,1269838
1999,Female,17,White,Not Stated,1,NA
1999,Female,18,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Female,18,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Female,18,Black or African American,Hispanic or Latino,2,13221
1999,Female,18,Black or African American,Not Hispanic or Latino,41,0
1999,Female,18,White,Hispanic or Latino,16,0
1999,Female,18,White,Not Hispanic or Latino,32,1255805
1999,Female,19,American Indian or Alaska Native,Not Hispanic or Latino,2,0
1999,Female,19,Asian or Pacific Islander,Not Hispanic or Latino,1,86683
1999,Female,19,Black or African American,Hispanic or Latino,1,14210
1999,Female,19,Black or African American,Not Hispanic or Latino,42,306651
1999,Female,19,White,Hispanic or Latino,12,0
1999,Female,19,White,Not Hispanic or Latino,37,0
1999,Female,20,American Indian or Alaska Native,Not Hispanic or Latino,4,18674
1999,Female,20,Asian or Pacific Islander,Not Hispanic or Latino,3,0
1999,Female,20,Black or African American,Hispanic or Latino,1,14170
1999,Female,20,Black or African American,Not Hispanic or Latino,42,0
1999,Female,20,White,Hispanic or Latino,19,0
1999,Female,20,White,Not Hispanic or Latino,48,1226200
1999,Female,20,White,Not Stated,1,NA
1999,Female,21,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Female,21,Asian or Pacific Islander,Not Hispanic or Latino,2,0
1999,Female,21,Black or African American,Hispanic or Latino,1,0
1999,Female,21,Black or African American,Not Hispanic or Latino,42,0
1999,Female,21,White,Hispanic or Latino,9,0
1999,Female,21,White,Not Hispanic or Latino,28,0
1999,Female,22,American Indian or Alaska Native,Not Hispanic or Latino,1,16691
1999,Female,22,Asian or Pacific Islander,Not Hispanic or Latino,2,0
1999,Female,22,Black or African American,Not Hispanic or Latino,29,0
1999,Female,22,White,Hispanic or Latino,11,270118
1999,Female,22,White,Not Hispanic or Latino,48,0
1999,Female,23,American Indian or Alaska Native,Hispanic or Latino,1,0
1999,Female,23,Asian or Pacific Islander,Not Hispanic or Latino,2,89751
1999,Female,23,Black or African American,Hispanic or Latino,1,13448
1999,Female,23,Black or African American,Not Hispanic or Latino,26,0
1999,Female,23,Black or African American,Not Stated,1,NA
1999,Female,23,White,Hispanic or Latino,15,0
1999,Female,23,White,Not Hispanic or Latino,26,0
1999,Female,23,White,Not Stated,1,NA
1999,Female,24,American Indian or Alaska Native,Not Hispanic or Latino,3,0
1999,Female,24,Asian or Pacific Islander,Not Hispanic or Latino,6,95448
1999,Female,24,Black or African American,Not Hispanic or Latino,32,255494
1999,Female,24,White,Hispanic or Latino,14,0
1999,Female,24,White,Not Hispanic or Latino,42,1125756
1999,Female,25,American Indian or Alaska Native,Not Hispanic or Latino,3,16646
1999,Female,25,Asian or Pacific Islander,Not Hispanic or Latino,1,103052
1999,Female,25,Black or African American,Not Hispanic or Latino,44,258333
1999,Female,25,White,Hispanic or Latino,7,275960
1999,Female,25,White,Not Hispanic or Latino,33,1123909
1999,Female,26,American Indian or Alaska Native,Not Hispanic or Latino,2,15874
