Year,Gender,Age,Race,Hispanic Origin,Deaths,Population
1999,Female,34,Black or African American,Not Hispanic or Latino,1,296727
1999,Female,37,White,Not Hispanic or Latino,1,1624798
1999,Female,38,White,Not Hispanic or Latino,2,1615867
1999,Female,40,White,Not Hispanic or Latino,1,1672820
1999,Female,51,White,Not Hispanic or Latino,1,0
1999,Male,14,Black or African American,Not Hispanic or Latino,1,0
1999,Male,15,American Indian or Alaska Native,Hispanic or Latino,1,0
1999,Male,15,White,Not Hispanic or Latino,1,0
1999,Male,17,Black or African American,Not Hispanic or Latino,3,304330
1999,Male,17,White,Hispanic or Latino,1,305230
1999,Male,17,White,Not Hispanic or Latino,2,0
1999,Male,18,Black or African American,Not Hispanic or Latino,3,291572
1999,Male,18,White,Not Hispanic or Latino,1,1306515
1999,Male,19,Black or African American,Not Hispanic or Latino,4,300669
1999,Male,19,White,Hispanic or Latino,3,328148
1999,Male,19,White,Not Hispanic or Latino,1,1331250
1999,Male,20,Black or African American,Not Hispanic or Latino,6,281816
1999,Male,20,White,Hispanic or Latino,2,333356
1999,Male,20,White,Not Hispanic or Latino,1,1260971
1999,Male,21,Asian or Pacific Islander,Not Hispanic or Latino,1,85661
1999,Male,21,Black or African American,Hispanic or Latino,1,13524
1999,Male,21,Black or African American,Not Hispanic or Latino,5,259037
1999,Male,21,White,Hispanic or Latino,2,328964
1999,Male,21,White,Not Hispanic or Latino,4,0
1999,Male,22,Asian or Pacific Islander,Not Hispanic or Latino,1,85832
1999,Male,22,Black or African American,Not Hispanic or Latino,3,0
1999,Male,22,White,Hispanic or Latino,2,0
1999,Male,22,White,Not Hispanic or Latino,2,1176687
1999,Male,23,Black or African American,Not Hispanic or Latino,3,0
1999,Male,23,White,Not Hispanic or Latino,6,1125233
1999,Male,24,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Male,24,Black or African American,Not Hispanic or Latino,4,0
1999,Male,24,White,Hispanic or Latino,1,334882
1999,Male,24,White,Not Hispanic or Latino,2,0
1999,Male,25,Asian or Pacific Islander,Not Hispanic or Latino,1,101138
1999,Male,25,Black or African American,Not Hispanic or Latino,4,236413
1999,Male,25,White,Hispanic or Latino,4,0
1999,Male,25,White,Not Hispanic or Latino,6,1146513
1999,Male,26,Black or African American,Not Hispanic or Latino,5,0
1999,Male,26,White,Hispanic or Latino,1,330178
1999,Male,26,White,Not Hispanic or Latino,8,1148909
1999,Male,27,Black or African American,Not Hispanic or Latino,6,0
1999,Male,27,White,Hispanic or Latino,2,328798
1999,Male,27,White,Not Hispanic or Latino,3,0
1999,Male,27,White,Not Stated,1,NA
1999,Male,28,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Male,28,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Male,28,Black or African American,Not Hispanic or Latino,4,0
1999,Male,28,White,Hispanic or Latino,1,332208
1999,Male,28,White,Not Hispanic or Latino,6,1356372
1999,Male,29,Black or African American,Not Hispanic or Latino,5,0
1999,Male,29,White,Hispanic or Latino,2,324720
1999,Male,29,White,Not Hispanic or Latino,5,0
1999,Male,30,American Indian or Alaska Native,Not Hispanic or Latino,1,16863
1999,Male,30,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Male,30,Black or African American,Not Hispanic or Latino,3,251768
1999,Male,30,White,Hispanic or Latino,3,0
1999,Male,30,White,Not Hispanic or Latino,9,1389787
1999,Male,31,Black or African American,Not Hispanic or Latino,2,240076
1999,Male,31,White,Hispanic or Latino,5,300423
1999,Male,31,White,Not Hispanic or Latino,5,0
1999,Male,32,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Male,32,Black or African American,Not Hispanic or Latino,5,0
1999,Male,32,White,Hispanic or Latino,3,0
1999,Male,32,White,Not Hispanic or Latino,7,0
1999,Male,33,Black or African American,Not Hispanic or Latino,6,248829
1999,Male,33,White,Hispanic or Latino,1,0
1999,Male,33,White,Not Hispanic or Latino,7,1375074
1999,Male,34,American Indian or Alaska Native,Not Hispanic or Latino,2,0
1999,Male,34,Black or African American,Not Hispanic or Latino,1,264395
1999,Male,34,White,Hispanic or Latino,1,0
1999,Male,34,White,Not Hispanic or Latino,6,1495302
1999,Male,35,Black or African American,Not Hispanic or Latino,3,0
1999,Male,35,White,Hispanic or Latino,1,0
1999,Male,35,White,Not Hispanic or Latino,6,0
1999,Male,35,White,Not Stated,1,NA
1999,Male,36,Black or African American,Not Hispanic or Latino,5,0
1999,Male,36,White,Hispanic or Latino,3,278137
1999,Male,36,White,Not Hispanic or Latino,8,0
1999,Male,37,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Male,37,Black or African American,Not Hispanic or Latino,2,0
1999,Male,37,White,Hispanic or Latino,2,257515
1999,Male,37,White,Not Hispanic or Latino,9,1630794
1999,Male,38,American Indian or Alaska Native,Not Hispanic or Latino,2,0
1999,Male,38,Black or African American,Not Hispanic or Latino,7,254974
1999,Male,38,White,Hispanic or Latino,2,0
1999,Male,38,White,Not Hispanic or Latino,5,0
1999,Male,39,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,Male,39,Black or African American,Not Hispanic or Latino,4,271423
1999,Male,39,White,Hispanic or Latino,2,240054
1999,Male,39,White,Not Hispanic or Latino,5,0
1999,Male,40,Black or African American,Not Hispanic or Latino,4,272091
1999,Male,40,White,Hispanic or Latino,2,0
1999,Male,40,White,Not Hispanic or Latino,4,1685587
1999,Male,41,Black or African American,Not Hispanic or Latino,2,251291
1999,Male,41,White,Not Hispanic or Latino,7,0
1999,Male,42,Black or African American,Not Hispanic or Latino,1,0
1999,Male,42,White,Hispanic or Latino,1,0
1999,Male,42,White,Not Hispanic or Latino,5,0
1999,Male,43,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,Male,43,Black or African American,Not Hispanic or Latino,4,0
1999,Male,43,White,Not Hispanic or Latino,10,1570920
1999,Male,44,Black or African American,Not Hispanic or Latino,4,0
1999,Male,44,White,Hispanic or Latino,1,186964
1999,Male,44,White,Not Hispanic or Latino,2,0
1999,Male,45,White,Hispanic or Latino,1,0
1999,Male,45,White,Not Hispanic or Latino,2,0
1999,Male,46,Black or African American,Not Hispanic or Latino,2,0
1999,Male,46,White,Not Hispanic or Latino,5,0
1999,Male,48,Black or African American,Not Hispanic or Latino,1,0
1999,Male,48,White,Not Hispanic or Latino,4,0
1999,Male,49,Black or African American,Not Hispanic or Latino,1,197149
1999,Male,49,White,Not Hispanic or Latino,3,0
1999,Male,50,Black or African American,Not Hispanic or Latino,2,0
1999,Male,50,White,Hispanic or Latino,1,0
1999,Male,50,White,Not Hispanic or Latino,3,0
1999,Male,51,Black or African American,Not Hispanic or Latino,2,168303
1999,Male,51,White,Hispanic or Latino,1,0
1999,Male,51,White,Not Hispanic or Latino,4,0
1999,Male,52,White,Hispanic or Latino,1,0
