Year,Age,Gender,Race,Hispanic Origin,Deaths,Population
1999,7,Male,White,Not Hispanic or Latino,1,1317814
1999,9,Male,White,Not Stated,1,NA
1999,10,Male,Black or African American,Not Hispanic or Latino,1,0
1999,10,Male,White,Hispanic or Latino,1,0
1999,10,Male,White,Not Hispanic or Latino,5,1353125
1999,11,Female,Black or African American,Not Hispanic or Latino,1,0
1999,11,Female,White,Not Hispanic or Latino,1,1261356
1999,11,Male,Black or African American,Not Hispanic or Latino,2,0
1999,11,Male,White,Hispanic or Latino,3,0
1999,11,Male,White,Not Hispanic or Latino,14,1330237
1999,11,Male,White,Not Stated,1,NA
1999,12,Female,Black or African American,Not Hispanic or Latino,3,301780
1999,12,Female,White,Hispanic or Latino,1,0
1999,12,Female,White,Not Hispanic or Latino,6,0
1999,12,Male,Black or African American,Not Hispanic or Latino,6,311142
1999,12,Male,White,Hispanic or Latino,2,278851
1999,12,Male,White,Not Hispanic or Latino,14,1340066
1999,13,Female,Asian or Pacific Islander,Not Hispanic or Latino,1,75918
1999,13,Female,Black or African American,Not Hispanic or Latino,2,294341
1999,13,Female,White,Hispanic or Latino,1,265614
1999,13,Female,White,Not Hispanic or Latino,4,0
1999,13,Male,American Indian or Alaska Native,Not Hispanic or Latino,1,22761
1999,13,Male,Asian or Pacific Islander,Not Hispanic or Latino,1,0
1999,13,Male,Black or African American,Not Hispanic or Latino,4,0
1999,13,Male,White,Hispanic or Latino,7,277328
1999,13,Male,White,Not Hispanic or Latino,34,1345641
1999,14,Female,Black or African American,Not Hispanic or Latino,1,0
1999,14,Female,White,Hispanic or Latino,7,258324
1999,14,Female,White,Not Hispanic or Latino,22,0
1999,14,Male,American Indian or Alaska Native,Not Hispanic or Latino,1,0
1999,14,Male,Asian or Pacific Islander,Not Hispanic or Latino,5,0
1999,14,Male,Black or African American,Not Hispanic or Latino,9,0
1999,14,Male,White,Hispanic or Latino,8,271823
1999,14,Male,White,Not Hispanic or Latino,73,1356975
1999,15,Female,American Indian or Alaska Native,Not Hispanic or Latino,2,22244
1999,15,Female,Asian or Pacific Islander,Not Hispanic or Latino,2,0
1999,15,Female,Black or African American,Not Hispanic or Latino,4,0
1999,15,Female,White,Hispanic or Latino,4,0
1999,15,Female,White,Not Hispanic or Latino,40,0
1999,15,Male,American Indian or Alaska Native,Not Hispanic or Latino,2,0
1999,15,Male,Black or African American,Not Hispanic or Latino,10,0
1999,15,Male,White,Hispanic or Latino,11,274255
1999,15,Male,White,Not Hispanic or Latino,87,0
1999,16,Female,American Indian or Alaska Native,Not Hispanic or Latino,3,21833
1999,16,Female,Asian or Pacific Islander,Not Hispanic or Latino,2,79754
1999,16,Female,Black or African American,Not Hispanic or Latino,3,0
1999,16,Female,White,Hispanic or Latino,6,262358
1999,16,Female,White,Not Hispanic or Latino,34,1272166
1999,16,Male,American Indian or Alaska Native,Not Hispanic or Latino,6,22537
1999,16,Male,Asian or Pacific Islander,Not Hispanic or Latino,5,0
1999,16,Male,Black or African American,Not Hispanic or Latino,19,304023
1999,16,Male,White,Hispanic or Latino,23,0
