"year","age","sex","group","chronic_liver_disease","poisonings","suicides","vehicle_transport","alcohol_induced","assault_homicide","drug_induced","legal_intervention","motor_accidents","all_cause","population"
1999,0,"Female","Black Non-Hispanic",0,1,0,26,0,56,3,0,26,3824,280072
1999,0,"Female","Hispanic",0,2,0,18,0,27,3,0,18,2001,368982
1999,0,"Female","White Non-Hispanic",0,1,0,40,0,49,1,0,39,5835,1.11229e+006
1999,0,"Male","Black Non-Hispanic",0,5,0,18,0,58,5,0,17,4765,288647
1999,0,"Male","Hispanic",0,4,0,22,0,26,4,0,22,2411,386749
1999,0,"Male","White Non-Hispanic",4,3,0,58,1,94,5,0,55,7718,1.17273e+006
1999,1,"Female","Black Non-Hispanic",0,3,0,20,0,24,4,0,18,214,284008
1999,1,"Female","Hispanic",0,0,0,19,0,15,0,0,16,171,339066
1999,1,"Female","White Non-Hispanic",0,2,0,45,0,31,3,0,43,466,1.11914e+006
1999,1,"Male","Black Non-Hispanic",0,1,0,24,0,26,1,0,19,300,292607
1999,1,"Male","Hispanic",0,2,0,27,0,5,2,0,26,186,359937
1999,1,"Male","White Non-Hispanic",0,2,0,47,0,31,2,0,46,554,1.18079e+006
1999,2,"Female","Black Non-Hispanic",1,1,0,15,0,31,1,0,15,141,282877
1999,2,"Female","Hispanic",0,0,0,24,0,5,0,0,23,106,346711
1999,2,"Female","White Non-Hispanic",0,1,0,30,0,19,1,0,26,298,1.12015e+006
1999,2,"Male","Black Non-Hispanic",0,1,0,23,0,22,1,0,22,182,292995
1999,2,"Male","Hispanic",0,1,0,24,0,8,1,0,24,128,367568
1999,2,"Male","White Non-Hispanic",0,0,0,42,0,25,1,0,39,442,1.17625e+006
1999,3,"Female","Black Non-Hispanic",1,0,0,25,0,17,0,0,24,106,284698
1999,3,"Female","Hispanic",0,0,0,15,0,5,0,0,14,74,334465
1999,3,"Female","White Non-Hispanic",0,1,0,37,0,13,1,0,34,249,1.14587e+006
1999,3,"Male","Black Non-Hispanic",0,2,0,20,0,17,2,0,20,120,292160
1999,3,"Male","Hispanic",0,0,0,22,0,7,0,0,20,91,352562
1999,3,"Male","White Non-Hispanic",0,1,0,58,0,19,1,0,51,363,1.20738e+006
1999,4,"Female","Black Non-Hispanic",0,2,0,12,0,5,2,0,11,88,305860
1999,4,"Female","Hispanic",0,0,0,14,0,2,0,0,13,50,342771
1999,4,"Female","White Non-Hispanic",0,0,0,45,0,10,1,0,37,201,1.16981e+006
1999,4,"Male","Black Non-Hispanic",0,0,0,29,0,9,0,0,23,132,315097
1999,4,"Male","Hispanic",0,1,0,12,0,5,1,0,12,76,358923
1999,4,"Male","White Non-Hispanic",0,0,0,45,0,8,0,0,39,246,1.23615e+006
1999,5,"Female","Black Non-Hispanic",0,0,0,12,0,6,0,0,12,78,315505
1999,5,"Female","Hispanic",0,0,0,12,0,2,0,0,12,33,322373
1999,5,"Female","White Non-Hispanic",0,0,0,43,0,7,0,0,41,183,1.18654e+006
1999,5,"Male","Black Non-Hispanic",0,1,0,20,0,6,1,0,16,113,326321
1999,5,"Male","Hispanic",0,0,0,15,0,7,0,0,14,77,355663
1999,5,"Male","White Non-Hispanic",0,0,0,48,0,7,0,0,42,233,1.25297e+006
1999,6,"Female","Black Non-Hispanic",0,1,0,16,0,7,1,0,16,83,322010
1999,6,"Female","Hispanic",0,1,0,6,0,4,1,0,6,37,318581
