Year,Age,Gender,Race,Hispanic Origin,Deaths,Population
2013,0,Female,American Indian or Alaska Native,Not Hispanic or Latino,3,19992
2013,0,Female,Asian or Pacific Islander,Not Hispanic or Latino,1,104540
2013,0,Female,Black or African American,Not Hispanic or Latino,6,296741
2013,0,Female,White,Hispanic or Latino,8,432602
2013,0,Female,White,Not Hispanic or Latino,19,1007308
2013,0,Male,American Indian or Alaska Native,Not Hispanic or Latino,2,20759
2013,0,Male,Black or African American,Hispanic or Latino,1,36068
2013,0,Male,Black or African American,Not Hispanic or Latino,7,310153
2013,0,Male,White,Hispanic or Latino,10,451522
2013,0,Male,White,Not Hispanic or Latino,15,1057748
2013,1,Female,American Indian or Alaska Native,Hispanic or Latino,4,18753
2013,1,Female,American Indian or Alaska Native,Not Hispanic or Latino,5,19769
2013,1,Female,Asian or Pacific Islander,Not Hispanic or Latino,4,107750
2013,1,Female,Black or African American,Not Hispanic or Latino,10,299235
2013,1,Female,White,Hispanic or Latino,9,436061
2013,1,Female,White,Not Hispanic or Latino,21,1006862
2013,1,Male,American Indian or Alaska Native,Not Hispanic or Latino,1,20495
2013,1,Male,Asian or Pacific Islander,Not Hispanic or Latino,1,112327
2013,1,Male,Black or African American,Hispanic or Latino,1,36289
2013,1,Male,Black or African American,Not Hispanic or Latino,20,310590
2013,1,Male,White,Hispanic or Latino,15,452588
2013,1,Male,White,Not Hispanic or Latino,24,1058758
2013,2,Female,American Indian or Alaska Native,Not Hispanic or Latino,2,19714
2013,2,Female,Black or African American,Not Hispanic or Latino,13,299112
2013,2,Female,White,Hispanic or Latino,12,444703
2013,2,Female,White,Not Hispanic or Latino,17,1012737
2013,2,Male,American Indian or Alaska Native,Hispanic or Latino,2,18314
2013,2,Male,American Indian or Alaska Native,Not Hispanic or Latino,3,20512
2013,2,Male,Asian or Pacific Islander,Not Hispanic or Latino,3,113886
2013,2,Male,Black or African American,Not Hispanic or Latino,17,310896
2013,2,Male,White,Hispanic or Latino,20,462747
2013,2,Male,White,Not Hispanic or Latino,23,1067640
2013,3,Female,American Indian or Alaska Native,Not Hispanic or Latino,2,20376
2013,3,Female,Asian or Pacific Islander,Hispanic or Latino,1,10723
2013,3,Female,Asian or Pacific Islander,Not Hispanic or Latino,2,109957
2013,3,Female,Black or African American,Not Hispanic or Latino,10,298890
2013,3,Female,White,Hispanic or Latino,9,443725
2013,3,Female,White,Not Hispanic or Latino,19,1018339
2013,3,Male,American Indian or Alaska Native,Not Hispanic or Latino,4,20369
2013,3,Male,Asian or Pacific Islander,Not Hispanic or Latino,2,113593
2013,3,Male,Black or African American,Hispanic or Latino,2,34643
2013,3,Male,Black or African American,Not Hispanic or Latino,12,308930
2013,3,Male,White,Hispanic or Latino,17,460292
2013,3,Male,White,Not Hispanic or Latino,29,1068562
2013,3,Male,White,Not Stated,2,Not Applicable
2013,4,Female,Asian or Pacific Islander,Hispanic or Latino,1,10618
2013,4,Female,Asian or Pacific Islander,Not Hispanic or Latino,1,108387
2013,4,Female,Black or African American,Not Hispanic or Latino,8,301709
2013,4,Female,White,Hispanic or Latino,11,438176
2013,4,Female,White,Not Hispanic or Latino,24,1025326
2013,4,Male,American Indian or Alaska Native,Not Hispanic or Latino,1,20529
2013,4,Male,Asian or Pacific Islander,Hispanic or Latino,1,11146
2013,4,Male,Asian or Pacific Islander,Not Hispanic or Latino,4,111521
2013,4,Male,Black or African American,Hispanic or Latino,2,34195
2013,4,Male,Black or African American,Not Hispanic or Latino,7,310782
2013,4,Male,White,Hispanic or Latino,12,455298
2013,4,Male,White,Not Hispanic or Latino,29,1074930
2013,4,Male,White,Not Stated,1,Not Applicable
2013,5,Female,American Indian or Alaska Native,Not Hispanic or Latino,2,20700
2013,5,Female,Asian or Pacific Islander,Not Hispanic or Latino,1,112575
2013,5,Female,Black or African American,Not Hispanic or Latino,10,311775
2013,5,Female,White,Hispanic or Latino,9,452216
