country,year,age,sex,death_count,population_count,death_rate,cohort_size,cumulative_deaths
ruk,1950,0,female,9271.06,363328.86,0.0255169930624283,50000,0
ruk,1950,1,female,832.01,382327.94,0.00217616844847907,48724.1503468786,1275.84965312142
ruk,1950,2,female,473,402729.94,0.00117448432068398,48618.1183882148,1381.88161178525
ruk,1950,3,female,400,382775.91,0.00104499784221008,48561.0171704666,1438.98282953336
ruk,1950,4,female,264,348796.27,0.000756888827968258,48510.271012308,1489.72898769203
ruk,1950,5,female,226.69,340873.93,0.000665025923220353,48473.554130137,1526.44586986296
ruk,1950,6,female,184.86,329463.93,0.000561093288725112,48441.3179600499,1558.68203995013
ruk,1950,7,female,169.72,304874.97,0.000556687221650239,48414.1378616455,1585.86213835451
ruk,1950,8,female,134.25,284399.66,0.00047204697783394,48387.1863297507,1612.8136702493
ruk,1950,9,female,116.48,280930.8,0.000414621679075416,48364.3453046779,1635.65469532215
ruk,1950,10,female,111.31,289253.97,0.000384817535952921,48344.2923986202,1655.70760137976
ruk,1950,11,female,100.48,293170.44,0.000342735781956735,48325.688667142,1674.31133285798
ruk,1950,12,female,131.93,290748.09,0.000453760504497209,48309.1257244481,1690.87427555191
ruk,1950,13,female,134.64,287097.79,0.000468969127209234,48287.2049511875,1712.79504881246
ruk,1950,14,female,114.63,284451.3,0.000402986381148548,48264.5597428262,1735.44025717379
ruk,1950,15,female,177.8,281719.56,0.000631124086662637,48245.1097825577,1754.89021744228
ruk,1950,16,female,185.83,282534.16,0.000657725777300699,48214.6611317103,1785.33886828973
ruk,1950,17,female,219.63,290479.73,0.000756094065496412,48182.9491062401,1817.05089375988
ruk,1950,18,female,251.2,296603.08,0.000846923100056817,48146.5182643628,1853.48173563722
ruk,1950,19,female,301.56,297515.63,0.00101359380681949,48105.7418658574,1894.25813414262
ruk,1950,20,female,309.81,299667,0.00103384757080359,48056.9821838297,1943.01781617032
ruk,1950,21,female,350.47,303815.73,0.00115356107466852,48007.2985895388,1992.70141046122
ruk,1950,22,female,326.66,309901.23,0.00105407777826503,47951.9192385859,2048.08076141409
ruk,1950,23,female,347.4,318198.11,0.00109177266954854,47901.3741860914,2098.62581390865
ruk,1950,24,female,383.66,325300.33,0.00117940243097817,47849.0767749212,2150.92322507884
ruk,1950,25,female,422.21,332446.69,0.0012700081327325,47792.6434574528,2207.35654254724
ruk,1950,26,female,447.1,341750.39,0.00130826478354567,47731.946411577,2268.05358842299
ruk,1950,27,female,453.1,355967.01,0.00127287076406322,47669.5003870367,2330.49961296334
ruk,1950,28,female,530.2,373352.77,0.0014201046372309,47608.8232736565,2391.1767263435
